ABS,20060407,7.89,7.95,7.86,7.92,1040012
AGL,20060407,18.63,18.74,18.56,18.74,570796
ALL,20060407,14.82,14.82,14.32,14.62,1190885
ALU,20060407,0.35,0.36,0.35,0.36,4607
AMP,20060407,8.84,8.87,8.78,8.84,2589050
ANZ,20060407,26.63,26.84,26.58,26.77,3378556
ASX,20060407,33.85,33.85,33.1,33.2,452835
AUN,20060407,1.19,1.2,1.18,1.19,2877260
BGN,20060407,0.085,0.086,0.085,0.086,109000
BHP,20060407,29.82,29.89,29.5,29.5,16496576
BRZ,20060407,1.76,1.8,1.76,1.78,43894
BSL,20060407,7.52,7.54,7.4,7.46,2790566
BTA,20060407,1.81,1.825,1.795,1.8,700694
CBA,20060407,45.6,45.76,45.53,45.76,1468655
CGF,20060407,3.66,3.66,3.59,3.59,1264408
CIR,20060407,1.05,1.05,1.04,1.04,13946
CML,20060407,11.03,11.19,11.03,11.11,5560237
CPU,20060407,7.9,7.9,7.69,7.76,1021559
DJS,20060407,2.81,2.82,2.78,2.8,832050
ERG,20060407,0.135,0.14,0.13,0.13,1772908
ETR,20060407,2.39,2.41,2.39,2.4,53615
FGL,20060407,5.49,5.49,5.41,5.45,12909127
FXJ,20060407,4.07,4.07,3.98,4,3110075
GFF,20060407,2.19,2.21,2.18,2.18,5119547
HGI,20060407,2.12,2.12,2.1,2.11,1530990
HTA,20060407,0.245,0.255,0.24,0.255,812852
HVN,20060407,3.81,3.83,3.75,3.77,501130
IAG,20060407,5.5,5.52,5.46,5.5,6153093
IIN,20060407,1.72,1.76,1.715,1.75,161437
IWL,20060407,4.64,4.75,4.64,4.75,36290
JBH,20060407,4.93,4.95,4.8,4.86,169406
KYC,20060407,1.16,1.16,1.12,1.12,129337
MBL,20060407,69.6,69.66,68.54,69,2376698
MYO,20060407,1,1.01,0.995,1,2274552
MYP,20060407,2.96,2.99,2.92,2.95,2462483
NAB,20060407,37.2,37.53,37.07,37.53,2337467
NWS,20060407,24.8,25.38,24.7,25.1,2503757
NWSLV,20060407,23.22,23.74,23.22,23.62,2229783
OST,20060407,4.15,4.15,3.98,4,1935068
PBG,20060407,2.4,2.43,2.39,2.39,1870766
PBL,20060407,18.33,18.61,18.27,18.45,2699894
PMN,20060407,5.47,5.5,5.41,5.48,1372063
PWR,20060407,0.54,0.54,0.52,0.525,87214
PWT,20060407,1.17,1.18,1.17,1.17,51256
QAN,20060407,3.54,3.55,3.51,3.51,14111258
RMD,20060407,5.92,5.92,5.84,5.84,715737
SEK,20060407,3.98,3.99,3.97,3.98,487987
SEV,20060407,9.48,9.6,9.45,9.6,1182630
SFE,20060407,16.55,16.6,16.4,16.49,868404
SGB,20060407,30.61,30.7,30.38,30.4,1329579
SGT,20060407,2.26,2.28,2.24,2.25,2131123
SHL,20060407,15.86,15.87,15.6,15.7,618506
TAH,20060407,15.65,15.72,15.6,15.72,1484902
TEL,20060407,4.9,4.93,4.88,4.92,5533062
TEN,20060407,3.01,3.03,2.99,3,1072717
TLS,20060407,3.68,3.69,3.66,3.68,14156801
TNE,20060407,0.67,0.675,0.66,0.665,186082
TTS,20060407,3.3,3.31,3.29,3.3,2931591
TWR,20060407,2.22,2.22,2.2,2.2,226575
UTB,20060407,14.75,14.82,14.72,14.8,599044
VBA,20060407,1.91,1.925,1.9,1.925,82200
VHL,20060407,0.115,0.115,0.115,0.115,20000
WBC,20060407,23.91,24.27,23.91,24.22,3015744
WDC,20060407,17.42,17.44,17.26,17.4,5706534
WOW,20060407,18.66,18.8,18.59,18.8,2631406
