EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
22/03/1999,0.18,100%,0.077,26/03/1999,26/04/1999
08/10/1999,0.2,100%,0.086,14/10/1999,28/10/1999
10/03/2000,0.21,100%,0.09,17/03/2000,11/04/2000
29/09/2000,0.23,0%,0,06/10/2000,25/10/2000
09/03/2001,0.24,15%,0.015,16/03/2001,20/04/2001
03/10/2001,0.25,15%,0.016,09/10/2001,30/10/2001
22/03/2002,0.26,15%,0.017,28/03/2002,23/04/2002
30/09/2002,0.26,15%,0.017,04/10/2002,29/10/2002
31/03/2003,0.2,15%,0.013,04/04/2003,28/04/2003
29/09/2003,0.07,15%,0.005,03/10/2003,28/10/2003
29/03/2004,0.09,85.66%,0.033,02/04/2004,27/04/2004
27/09/2004,0.13,75%,0.042,01/10/2004,26/10/2004
24/03/2005,0.14,75%,0.045,01/04/2005,26/04/2005
26/09/2005,0.14,75%,0.045,30/09/2005,25/10/2005
27/03/2006,0.18,75%,0.058,31/03/2006,26/04/2006
25/09/2006,0.19,85%,0.069,29/09/2006,24/10/2006
09/03/2007,0.21,85%,0.077,16/03/2007,12/04/2007
10/09/2007,0.22,85%,0.08,14/09/2007,12/10/2007
03/03/2008,0.24,85%,0.087,07/03/2008,04/04/2008
15/09/2008,0.24,85%,0.087,19/09/2008,17/10/2008
06/03/2009,0.16,85%,0.058,13/03/2009,09/04/2009
07/09/2009,0.14,50%,0.03,11/09/2009,16/10/2009
23/02/2010,0.16,50%,0.034,01/03/2010,14/04/2010
06/09/2010,0.15,60%,0.039,10/09/2010,15/10/2010
28/02/2011,0.15,60%,0.039,07/03/2011,08/04/2011
05/09/2011,0.15,30%,0.019,12/09/2011,14/10/2011
27/02/2012,0.14,50%,0.03,05/03/2012,05/04/2012
03/09/2012,0.125,55%,0.029,07/09/2012,12/10/2012
04/03/2013,0.125,65%,0.035,08/03/2013,11/04/2013
02/09/2013,0.115,70%,0.035,06/09/2013,11/10/2013
03/03/2014,0.115,70%,0.035,07/03/2014,10/04/2014
03/09/2014,0.125,70%,0.038,05/09/2014,10/10/2014
03/03/2015,0.135,80%,0.046,05/03/2015,10/04/2015
01/09/2015,0.14,85%,0.051,03/09/2015,09/10/2015
01/03/2016,0.14,90%,0.054,03/03/2016,08/04/2016
