19990322,0.18,100%,0.077,19990326,19990426
19991008,0.2,100%,0.086,19991014,19991028
20000310,0.21,100%,0.09,20000317,20000411
20000929,0.23,0%,0,20001006,20001025
20010309,0.24,15%,0.015,20010316,20010420
20011003,0.25,15%,0.016,20011009,20011030
20020322,0.26,15%,0.017,20020328,20020423
20020930,0.26,15%,0.017,20021004,20021029
20030331,0.2,15%,0.013,20030404,20030428
20030929,0.07,15%,0.005,20031003,20031028
20040329,0.09,85.66%,0.033,20040402,20040427
20040927,0.13,75%,0.042,20041001,20041026
20050324,0.14,75%,0.045,20050401,20050426
20050926,0.14,75%,0.045,20050930,20051025
20060327,0.18,75%,0.058,20060331,20060426
20060925,0.19,85%,0.069,20060929,20061024
20070309,0.21,85%,0.077,20070316,20070412
20070910,0.22,85%,0.08,20070914,20071012
20080303,0.24,85%,0.087,20080307,20080404
20080915,0.24,85%,0.087,20080919,20081017
20090306,0.16,85%,0.058,20090313,20090409
20090907,0.14,50%,0.03,20090911,20091016
20100223,0.16,50%,0.034,20100301,20100414
20100906,0.15,60%,0.039,20100910,20101015
20110228,0.15,60%,0.039,20110307,20110408
20110905,0.15,30%,0.019,20110912,20111014
20120227,0.14,50%,0.03,20120305,20120405
20120903,0.125,55%,0.029,20120907,20121012
20130304,0.125,65%,0.035,20130308,20130411
20130902,0.115,70%,0.035,20130906,20131011
20140303,0.115,70%,0.035,20140307,20140410
20140903,0.125,70%,0.038,20140905,20141010
20150303,0.135,80%,0.046,20150305,20150410
20150901,0.14,85%,0.051,20150903,20151009
20160301,0.14,90%,0.054,20160303,20160408
