EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
04/12/97,0.26,100%,0.111,12/12/97,21/01/98
03/06/98,0.24,60%,0.062,12/06/98,06/07/98
12/11/98,0.28,60%,0.072,20/11/98,21/12/98
07/06/99,0.26,75%,0.084,11/06/99,05/07/99
15/11/99,0.3,80%,0.103,19/11/99,20/12/99
22/05/00,0.29,100%,0.124,26/05/00,03/07/00
02/11/00,0.35,100%,0.15,09/11/00,15/12/00
11/05/01,0.33,100%,0.141,17/05/01,02/07/01
01/11/01,0.4,100%,0.171,08/11/01,14/12/01
17/05/02,0.39,100%,0.167,23/05/02,01/07/02
31/10/02,0.46,100%,0.197,07/11/02,13/12/02
16/05/03,0.44,100%,0.189,22/05/03,01/07/03
07/11/03,0.51,100%,0.219,13/11/03,19/12/03
14/05/04,0.47,100%,0.201,20/05/04,01/07/04
08/11/04,0.54,100%,0.231,12/11/04,17/12/04
16/05/05,0.51,100%,0.219,20/05/05,01/07/05
08/11/05,0.59,100%,0.253,14/11/05,16/12/05
15/05/06,0.56,100%,0.24,19/05/06,03/07/06
09/11/06,0.69,100%,0.296,15/11/06,15/12/06
14/05/07,0.62,100%,0.266,18/05/07,02/07/07
08/11/07,0.74,100%,0.317,14/11/07,21/12/07
08/05/08,0.62,100%,0.266,14/05/08,01/07/08
06/11/08,0.74,100%,0.317,12/11/08,18/12/08
07/05/09,0.46,100%,0.197,13/05/09,01/07/09
05/11/09,0.56,100%,0.24,11/11/09,18/12/09
06/05/10,0.52,100%,0.223,12/05/10,01/07/10
04/11/10,0.74,100%,0.317,10/11/10,17/12/10
12/05/11,0.64,100%,0.274,19/05/11,01/07/11
10/11/11,0.76,100%,0.326,17/11/11,16/12/11
10/05/12,0.66,100%,0.283,16/05/12,02/07/12
08/11/12,0.79,100%,0.339,14/11/12,19/12/12
09/05/13,0.73,100%,0.313,15/05/13,01/07/13
07/11/13,0.91,100%,0.39,13/11/13,16/12/13
09/05/14,0.83,100%,0.356,13/05/14,01/07/14
07/11/14,0.95,100%,0.407,11/11/14,16/12/14
08/05/15,0.86,100%,0.369,12/05/15,01/07/15
06/11/15,0.95,100%,0.407,10/11/15,16/12/15
