EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE,TYPE
9/03/1999,0.155,100%,0.066,15/03/1999,26/03/1999,Interim
7/09/1999,0.194,100%,0.083,13/09/1999,20/09/1999,Final
21/03/2000,0.343,100%,0.147,27/03/2000,31/03/2000,Interim
11/09/2000,0.319,100%,0.137,15/09/2000,10/10/2000,Final
7/03/2001,0.268,100%,0.115,14/03/2001,26/03/2001,Interim
9/10/2001,0.165,100%,0.071,15/10/2001,24/10/2001,Final
8/03/2002,0.195,100%,0.084,15/03/2002,26/03/2002,Interim
13/09/2002,0.211,100%,0.09,19/09/2002,27/09/2002,Final
12/03/2003,0.215,100%,0.092,18/03/2003,28/03/2003,Interim
4/09/2003,0.456,100%,0.195,10/09/2003,22/09/2003,Final
5/03/2004,0.292,100%,0.125,12/03/2004,26/03/2004,Interim
9/08/2004,0.515,100%,0.221,13/08/2004,27/08/2004,Final
24/02/2005,0.442,100%,0.189,2/03/2005,11/03/2005,Interim
8/08/2005,0.509,100%,0.218,12/08/2005,26/08/2005,Final
27/02/2006,0.562,100%,0.241,3/03/2006,17/03/2006,Interim
12/07/2006,0.639,100%,0.274,18/07/2006,9/08/2006,Final
21/02/2007,0.723,100%,0.31,27/02/2007,16/03/2007,Interim
22/08/2007,0.915,100%,0.392,28/08/2007,18/09/2007,Final
21/02/2008,0.985,100%,0.422,27/02/2008,20/03/2008,Interim
20/08/2008,0.939,100%,0.402,26/08/2008,17/09/2008,Final
24/02/2009,0.904,100%,0.387,2/03/2009,27/03/2009,Interim
27/08/2009,0.745,100%,0.319,2/09/2009,24/09/2009,Final
1/03/2010,0.891,100%,0.382,5/03/2010,29/03/2010,Interim
30/08/2010,0.84,100%,0.36,3/09/2010,27/09/2010,Final
28/02/2011,0.902,100%,0.387,7/03/2011,24/03/2011,Interim
29/08/2011,0.93,100%,0.399,5/09/2011,22/09/2011,Final
27/02/2012,0.928,100%,0.398,5/03/2012,21/03/2012,Interim
27/08/2012,0.851,100%,0.365,31/08/2012,19/09/2012,Final
4/03/2013,0.879,100%,0.377,8/03/2013,27/03/2013,Interim
2/09/2013,0.823,100%,0.353,6/09/2013,25/09/2013,Final
3/03/2014,0.882,100%,0.378,7/03/2014,26/03/2014,Interim
3/09/2014,0.899,100%,0.385,5/09/2014,24/09/2014,Final
4/03/2015,0.923,100%,0.396,6/03/2015,18/03/2015,Interim
2/09/2015,0.951,100%,0.408,4/09/2015,23/09/2015,Final
2/03/2016,0.991,100%,0.425,4/03/2016,23/03/2016,Interim
8/09/2016,0.99,100%,,9/09/2016,28/09/2016,Final
9/03/2017,1.02,100%,,10/03/2017,29/03/2017,Interim
7/09/2017,0.998,100%,,8/09/2017,27/09/2017,Final
8/03/2018,1.072,100%,,9/03/2018,28/03/2018,Interim
6/09/2018,1.091,100%,,7/09/2018,26/09/2018,Final
7/03/2019,1.144,100%,,8/03/2019,27/03/2019,Interim
5/09/2019,1.143,100%,,6/09/2019,25/09/2019,Final
5/09/2019,1.291,100%,,6/09/2019,25/09/2019,Special
5/03/2020,1.164,100%,,6/03/2020,25/03/2020,Interim
7/09/2020,1.225,100%,,8/09/2020,30/09/2020,Final
