EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
10/09/2008,0.03,100%,0.013,16/09/2008,30/09/2008
06/03/2009,0.02,100%,0.009,13/03/2009,27/03/2009
24/08/2009,0.02,100%,0.009,28/08/2009,11/09/2009
05/03/2010,0.06,100%,0.026,12/03/2010,26/03/2010
02/09/2010,0.025,100%,0.011,08/09/2010,23/09/2010
07/03/2011,0.04,100%,0.017,14/03/2011,25/03/2011
05/09/2011,0.02,100%,0.009,12/09/2011,23/09/2011
05/03/2012,0.01,100%,0.004,12/03/2012,23/03/2012
29/08/2013,0.01,100%,0.004,04/09/2013,25/09/2013
05/03/2014,0.015,100%,0.006,12/03/2014,21/03/2014
06/03/2015,0.02,100%,0.009,11/03/2015,20/03/2015
24/08/2015,0.015,100%,0.006,26/08/2015,14/09/2015
10/03/2016,0.03,100%,0.013,11/03/2016,22/03/2016
