EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
20080910,0.03,100%,0.013,20080916,20080930
20090306,0.02,100%,0.009,20090313,20090327
20090824,0.02,100%,0.009,20090828,20090911
20100305,0.06,100%,0.026,20100312,20100326
20100902,0.025,100%,0.011,20100908,20100923
20110307,0.04,100%,0.017,20110314,20110325
20110905,0.02,100%,0.009,20110912,20110923
20120305,0.01,100%,0.004,20120312,20120323
20130829,0.01,100%,0.004,20130904,20130925
20140305,0.015,100%,0.006,20140312,20140321
20150306,0.02,100%,0.009,20150311,20150320
20150824,0.015,100%,0.006,20150826,20150914
20160310,0.03,100%,0.013,20160311,20160322
