EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
29/10/1997,0.25,100%,0.107,07/11/1997,26/11/1997
07/05/1998,0.26,100%,0.111,15/05/1998,03/06/1998
28/10/1998,0.25,100%,0.107,06/11/1998,25/11/1998
10/05/1999,0.26,100%,0.111,14/05/1999,02/06/1999
29/10/1999,0.25,0%,0,05/11/1999,24/11/1999
05/06/2000,0.26,0%,0,09/06/2000,03/07/2000
13/11/2000,0.25,0%,0,17/11/2000,06/12/2000
04/06/2001,0.26,100%,0.111,08/06/2001,02/07/2001
12/11/2001,0.128,100%,0.055,16/11/2001,05/12/2001
03/06/2002,0.12,100%,0.051,07/06/2002,03/07/2002
11/11/2002,0.125,100%,0.054,15/11/2002,04/12/2002
06/06/2003,0.119,100%,0.051,13/06/2003,02/07/2003
10/11/2003,0.114,100%,0.049,14/11/2003,03/12/2003
08/04/2004,0.113,100%,0.049,16/04/2004,05/05/2004
30/08/2004,0.132,100%,0.057,03/09/2004,22/09/2004
28/02/2005,0.172,100%,0.074,04/03/2005,23/03/2005
05/09/2005,0.192,100%,0.082,09/09/2005,28/09/2005
27/02/2006,0.237,100%,0.102,03/03/2006,22/03/2006
04/09/2006,0.242,100%,0.104,08/09/2006,27/09/2006
26/02/2007,0.258,100%,0.111,02/03/2007,20/03/2007
10/09/2007,0.336,100%,0.144,14/09/2007,28/09/2007
25/02/2008,0.319,100%,0.137,29/02/2008,18/03/2008
01/09/2008,0.469,100%,0.201,05/09/2008,25/09/2008
23/02/2009,0.65,100%,0.278,27/02/2009,17/03/2009
31/08/2009,0.487,100%,0.209,04/09/2009,25/09/2009
01/03/2010,0.465,100%,0.199,05/03/2010,23/03/2010
06/09/2010,0.487,100%,0.209,10/09/2010,30/09/2010
07/03/2011,0.459,100%,0.197,14/03/2011,31/03/2011
05/09/2011,0.52,100%,0.223,12/09/2011,29/09/2011
27/02/2012,0.511,100%,0.219,05/03/2012,22/03/2012
03/09/2012,0.551,100%,0.236,07/09/2012,28/09/2012
04/03/2013,0.556,100%,0.238,08/03/2013,28/03/2013
02/09/2013,0.644,100%,0.276,06/09/2013,25/09/2013
03/03/2014,0.647,100%,0.277,07/03/2014,26/03/2014
03/09/2014,0.662,100%,0.284,05/09/2014,23/09/2014
11/03/2015,0.808,100%,0.346,13/03/2015,31/03/2015
09/09/2015,0.878,100%,0.376,11/09/2015,29/09/2015
10/03/2016,0.214,100%,0.092,11/03/2016,31/03/2016
