EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
05/09/1997,0.15,100%,0.064,15/09/1997,26/09/1997
13/02/1998,0.1,100%,0.043,23/02/1998,02/03/1998
11/09/1998,0.18,100%,0.077,21/09/1998,02/10/1998
15/02/1999,0.1,100%,0.043,19/02/1999,01/03/1999
13/09/1999,0.18,100%,0.077,17/09/1999,29/09/1999
16/02/2000,0.25,100%,0.107,22/02/2000,03/03/2000
18/09/2000,0.18,100%,0.077,22/09/2000,05/10/2000
16/02/2001,0.15,100%,0.064,22/02/2001,09/03/2001
08/06/2001,0.14,100%,0.06,15/06/2001,27/06/2001
17/09/2001,0.04,100%,0.017,21/09/2001,05/10/2001
25/02/2002,0.15,100%,0.064,01/03/2002,15/03/2002
18/09/2002,0.18,100%,0.077,24/09/2002,08/10/2002
24/02/2003,0.15,100%,0.064,28/02/2003,14/03/2003
19/09/2003,0.2,100%,0.086,25/09/2003,08/10/2003
04/03/2004,0.19,100%,0.081,11/03/2004,29/03/2004
22/04/2004,0.14,100%,0.06,29/04/2004,14/05/2004
31/08/2004,0.27,100%,0.116,06/09/2004,22/09/2004
28/02/2005,0.25,100%,0.107,04/03/2005,18/03/2005
25/08/2005,0.33,100%,0.141,31/08/2005,14/09/2005
02/03/2006,0.27,100%,0.116,08/03/2006,22/03/2006
25/08/2006,0.42,100%,0.18,31/08/2006,14/09/2006
05/03/2007,0.35,100%,0.15,09/03/2007,23/03/2007
03/09/2007,0.46,100%,0.197,10/09/2007,24/09/2007
06/03/2008,0.39,100%,0.167,13/03/2008,27/03/2008
05/09/2008,0.51,100%,0.219,11/09/2008,25/09/2008
27/02/2009,0.39,100%,0.167,05/03/2009,19/03/2009
04/09/2009,0.57,100%,0.244,10/09/2009,24/09/2009
04/03/2010,0.42,100%,0.18,11/03/2010,25/03/2010
27/08/2010,0.7,100%,0.3,02/09/2010,20/09/2010
02/03/2011,0.44,100%,0.189,09/03/2011,22/03/2011
26/08/2011,0.8,100%,0.343,02/09/2011,15/09/2011
02/03/2012,0.44,100%,0.189,09/03/2012,22/03/2012
25/09/2012,0.83,100%,0.356,02/10/2012,16/10/2012
07/03/2013,0.44,100%,0.189,14/03/2013,04/04/2013
24/09/2013,0.83,100%,0.356,30/09/2013,18/10/2013
05/03/2014,0.44,100%,0.189,12/03/2014,02/04/2014
10/09/2014,0.83,100%,0.356,12/09/2014,03/10/2014
23/03/2015,0.68,100%,0.291,25/03/2015,13/04/2015
04/09/2015,1.35,100%,0.579,08/09/2015,22/09/2015
09/03/2016,2,100%,0.857,10/03/2016,24/03/2016
