EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
19970905,0.15,100%,0.064,19970915,19970926
19980213,0.1,100%,0.043,19980223,19980302
19980911,0.18,100%,0.077,19980921,19981002
19990215,0.1,100%,0.043,19990219,19990301
19990913,0.18,100%,0.077,19990917,19990929
20000216,0.25,100%,0.107,20000222,20000303
20000918,0.18,100%,0.077,20000922,20001005
20010216,0.15,100%,0.064,20010222,20010309
20010608,0.14,100%,0.06,20010615,20010627
20010917,0.04,100%,0.017,20010921,20011005
20020225,0.15,100%,0.064,20020301,20020315
20020918,0.18,100%,0.077,20020924,20021008
20030224,0.15,100%,0.064,20030228,20030314
20030919,0.2,100%,0.086,20030925,20031008
20040304,0.19,100%,0.081,20040311,20040329
20040422,0.14,100%,0.06,20040429,20040514
20040831,0.27,100%,0.116,20040906,20040922
20050228,0.25,100%,0.107,20050304,20050318
20050825,0.33,100%,0.141,20050831,20050914
20060302,0.27,100%,0.116,20060308,20060322
20060825,0.42,100%,0.18,20060831,20060914
20070305,0.35,100%,0.15,20070309,20070323
20070903,0.46,100%,0.197,20070910,20070924
20080306,0.39,100%,0.167,20080313,20080327
20080905,0.51,100%,0.219,20080911,20080925
20090227,0.39,100%,0.167,20090305,20090319
20090904,0.57,100%,0.244,20090910,20090924
20100304,0.42,100%,0.18,20100311,20100325
20100827,0.7,100%,0.3,20100902,20100920
20110302,0.44,100%,0.189,20110309,20110322
20110826,0.8,100%,0.343,20110902,20110915
20120302,0.44,100%,0.189,20120309,20120322
20120925,0.83,100%,0.356,20121002,20121016
20130307,0.44,100%,0.189,20130314,20130404
20130924,0.83,100%,0.356,20130930,20131018
20140305,0.44,100%,0.189,20140312,20140402
20140910,0.83,100%,0.356,20140912,20141003
20150323,0.68,100%,0.291,20150325,20150413
20150904,1.35,100%,0.579,20150908,20150922
20160309,2,100%,0.857,20160310,20160324
