EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
12/03/2003,0.09,100%,0.039,18/03/2003,22/04/2003
10/09/2003,0.2,100%,0.086,16/09/2003,10/10/2003
25/02/2004,0.12,100%,0.051,02/03/2004,29/03/2004
28/09/2004,0.28,100%,0.12,05/10/2004,18/10/2004
28/02/2005,0.18,100%,0.077,04/03/2005,04/04/2005
28/09/2005,0.44,100%,0.189,05/10/2005,24/10/2005
28/02/2006,0.2,100%,0.086,06/03/2006,03/04/2006
27/09/2006,0.24,100%,0.103,04/10/2006,24/10/2006
01/03/2007,0.21,100%,0.09,07/03/2007,02/04/2007
24/09/2007,0.26,100%,0.111,28/09/2007,23/10/2007
28/02/2008,0.22,100%,0.094,05/03/2008,01/04/2008
22/09/2008,0.27,100%,0.116,26/09/2008,22/10/2008
26/02/2009,0.05,100%,0.021,04/03/2009,31/03/2009
20/09/2010,0.05,100%,0.021,24/09/2010,20/10/2010
28/02/2011,0.02,100%,0.009,07/03/2011,04/04/2011
03/03/2015,0.03,100%,0.013,05/03/2015,01/04/2015
17/09/2015,0.03,100%,0.013,21/09/2015,19/10/2015
02/03/2016,0.03,100%,0.013,04/03/2016,31/03/2016
