EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
20030312,0.09,100%,0.039,20030318,20030422
20030910,0.2,100%,0.086,20030916,20031010
20040225,0.12,100%,0.051,20040302,20040329
20040928,0.28,100%,0.12,20041005,20041018
20050228,0.18,100%,0.077,20050304,20050404
20050928,0.44,100%,0.189,20051005,20051024
20060228,0.2,100%,0.086,20060306,20060403
20060927,0.24,100%,0.103,20061004,20061024
20070301,0.21,100%,0.09,20070307,20070402
20070924,0.26,100%,0.111,20070928,20071023
20080228,0.22,100%,0.094,20080305,20080401
20080922,0.27,100%,0.116,20080926,20081022
20090226,0.05,100%,0.021,20090304,20090331
20100920,0.05,100%,0.021,20100924,20101020
20110228,0.02,100%,0.009,20110307,20110404
20150303,0.03,100%,0.013,20150305,20150401
20150917,0.03,100%,0.013,20150921,20151019
20160302,0.03,100%,0.013,20160304,20160331
