EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
19/05/2008,0.035,100%,0.015,23/05/2008,02/07/2008
02/12/2008,0.054,100%,0.023,08/12/2008,17/12/2008
18/05/2009,0.03,100%,0.013,22/05/2009,02/07/2009
30/11/2009,0.049,100%,0.021,04/12/2009,18/12/2009
17/05/2010,0.055,100%,0.024,21/05/2010,01/07/2010
28/07/2010,0.125,100%,0.054,04/08/2010,26/08/2010
29/11/2010,0.1,100%,0.043,03/12/2010,17/12/2010
16/05/2011,0.06,100%,0.026,23/05/2011,04/07/2011
28/11/2011,0.1,100%,0.043,05/12/2011,16/12/2011
14/05/2012,0.055,100%,0.024,18/05/2012,02/07/2012
03/12/2012,0.07,100%,0.03,07/12/2012,20/12/2012
13/05/2013,0.08,100%,0.034,17/05/2013,02/07/2013
02/12/2013,0.1,50%,0.021,06/12/2013,19/12/2013
14/05/2014,0.16,35%,0.024,16/05/2014,02/07/2014
03/12/2014,0.19,35%,0.029,05/12/2014,19/12/2014
13/05/2015,0.17,40%,0.029,15/05/2015,02/07/2015
02/12/2015,0.2,40%,0.034,04/12/2015,18/12/2015
