EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
20080519,0.035,100%,0.015,20080523,20080702
20081202,0.054,100%,0.023,20081208,20081217
20090518,0.03,100%,0.013,20090522,20090702
20091130,0.049,100%,0.021,20091204,20091218
20100517,0.055,100%,0.024,20100521,20100701
20100728,0.125,100%,0.054,20100804,20100826
20101129,0.1,100%,0.043,20101203,20101217
20110516,0.06,100%,0.026,20110523,20110704
20111128,0.1,100%,0.043,20111205,20111216
20120514,0.055,100%,0.024,20120518,20120702
20121203,0.07,100%,0.03,20121207,20121220
20130513,0.08,100%,0.034,20130517,20130702
20131202,0.1,50%,0.021,20131206,20131219
20140514,0.16,35%,0.024,20140516,20140702
20141203,0.19,35%,0.029,20141205,20141219
20150513,0.17,40%,0.029,20150515,20150702
20151202,0.2,40%,0.034,20151204,20151218
