EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
18/08/1997,0.57,100%,0.244,26/08/1997,30/09/1997
16/02/1998,0.46,100%,0.197,24/02/1998,27/03/1998
17/08/1998,0.58,100%,0.249,25/08/1998,30/09/1998
16/02/1999,0.49,100%,0.21,22/02/1999,26/03/1999
18/08/1999,0.66,100%,0.283,24/08/1999,30/09/1999
17/02/2000,0.58,100%,0.249,23/02/2000,31/03/2000
04/09/2000,0.72,100%,0.309,08/09/2000,09/10/2000
19/02/2001,0.61,100%,0.261,23/02/2001,30/03/2001
27/08/2001,0.75,100%,0.321,31/08/2001,08/10/2001
18/02/2002,0.68,100%,0.291,22/02/2002,28/03/2002
26/08/2002,0.82,100%,0.351,30/08/2002,08/10/2002
17/02/2003,0.69,100%,0.296,21/02/2003,28/03/2003
25/08/2003,0.85,100%,0.364,29/08/2003,08/10/2003
16/02/2004,0.79,100%,0.339,20/02/2004,30/03/2004
16/08/2004,1.04,100%,0.446,20/08/2004,24/09/2004
14/02/2005,0.85,100%,0.364,18/02/2005,31/03/2005
15/08/2005,1.12,100%,0.48,19/08/2005,23/09/2005
20/02/2006,0.94,100%,0.403,24/02/2006,05/04/2006
14/08/2006,1.3,100%,0.557,18/08/2006,05/10/2006
19/02/2007,1.07,100%,0.459,23/02/2007,05/04/2007
20/08/2007,1.49,100%,0.639,24/08/2007,05/10/2007
18/02/2008,1.13,100%,0.484,22/02/2008,02/04/2008
18/08/2008,1.53,100%,0.656,22/08/2008,01/10/2008
16/02/2009,1.13,100%,0.484,20/02/2009,23/03/2009
17/08/2009,1.15,100%,0.493,21/08/2009,01/10/2009
15/02/2010,1.2,100%,0.514,19/02/2010,01/04/2010
16/08/2010,1.7,100%,0.729,20/08/2010,01/10/2010
14/02/2011,1.32,100%,0.566,21/02/2011,01/04/2011
15/08/2011,1.88,100%,0.806,22/08/2011,06/10/2011
20/02/2012,1.37,100%,0.587,27/02/2012,05/04/2012
20/08/2012,1.97,100%,0.844,24/08/2012,05/10/2012
18/02/2013,1.64,100%,0.703,22/02/2013,05/04/2013
19/08/2013,2,100%,0.857,23/08/2013,03/10/2013
17/02/2014,1.83,100%,0.784,21/02/2014,03/04/2014
19/08/2014,2.18,100%,0.934,21/08/2014,02/10/2014
17/02/2015,1.98,100%,0.849,19/02/2015,02/04/2015
18/08/2015,2.22,100%,0.951,20/08/2015,01/10/2015
16/02/2016,1.98,100%,0.849,18/02/2016,31/03/2016
