EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
28/09/2005,0.05,100%,0.021,05/10/2005,21/10/2005
02/03/2006,0.025,100%,0.011,08/03/2006,21/04/2006
21/09/2006,0.05,100%,0.021,27/09/2006,20/10/2006
22/03/2007,0.05,100%,0.021,28/03/2007,20/04/2007
20/09/2007,0.075,100%,0.032,26/09/2007,19/10/2007
18/03/2008,0.05,100%,0.021,26/03/2008,18/04/2008
18/09/2008,0.075,60%,0.019,24/09/2008,17/10/2008
19/03/2009,0.05,0%,0,25/03/2009,17/04/2009
17/09/2009,0.075,0%,0,23/09/2009,16/10/2009
18/03/2010,0.06,0%,0,24/03/2010,16/04/2010
17/09/2010,0.085,0%,0,23/09/2010,15/10/2010
04/03/2011,0.07,0%,0,11/03/2011,31/03/2011
01/09/2011,0.095,0%,0,08/09/2011,29/09/2011
05/03/2012,0.075,0%,0,12/03/2012,30/03/2012
03/09/2012,0.105,0%,0,07/09/2012,28/09/2012
06/03/2013,0.095,0%,0,13/03/2013,28/03/2013
02/09/2013,0.105,0%,0,06/09/2013,27/09/2013
25/02/2014,0.125,0%,0,03/03/2014,28/03/2014
29/08/2014,0.135,40%,0.023,02/09/2014,30/09/2014
02/03/2015,0.145,70%,0.044,04/03/2015,31/03/2015
31/08/2015,0.155,100%,0.066,02/09/2015,30/09/2015
29/02/2016,0.16,100%,0.069,02/03/2016,29/03/2016
