EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
20050928,0.05,100%,0.021,20051005,20051021
20060302,0.025,100%,0.011,20060308,20060421
20060921,0.05,100%,0.021,20060927,20061020
20070322,0.05,100%,0.021,20070328,20070420
20070920,0.075,100%,0.032,20070926,20071019
20080318,0.05,100%,0.021,20080326,20080418
20080918,0.075,60%,0.019,20080924,20081017
20090319,0.05,0%,0,20090325,20090417
20090917,0.075,0%,0,20090923,20091016
20100318,0.06,0%,0,20100324,20100416
20100917,0.085,0%,0,20100923,20101015
20110304,0.07,0%,0,20110311,20110331
20110901,0.095,0%,0,20110908,20110929
20120305,0.075,0%,0,20120312,20120330
20120903,0.105,0%,0,20120907,20120928
20130306,0.095,0%,0,20130313,20130328
20130902,0.105,0%,0,20130906,20130927
20140225,0.125,0%,0,20140303,20140328
20140829,0.135,40%,0.023,20140902,20140930
20150302,0.145,70%,0.044,20150304,20150331
20150831,0.155,100%,0.066,20150902,20150930
20160229,0.16,100%,0.069,20160302,20160329
