EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
23/09/1997,0.075,38%,0.012,01/10/1997,21/10/1997
26/03/1998,0.06,100%,0.026,03/04/1998,17/04/1998
24/08/1998,0.095,100%,0.041,01/09/1998,22/09/1998
24/02/1999,0.08,100%,0.034,02/03/1999,23/03/1999
26/08/1999,0.2,100%,0.086,01/09/1999,22/09/1999
24/02/2000,0.15,100%,0.064,01/03/2000,22/03/2000
30/08/2000,0.15,100%,0.064,05/09/2000,26/09/2000
21/02/2001,0.2,100%,0.086,27/02/2001,20/03/2001
29/08/2001,0.21,100%,0.09,04/09/2001,25/09/2001
21/02/2002,0.21,100%,0.09,27/02/2002,20/03/2002
28/08/2002,0.3,100%,0.129,03/09/2002,24/09/2002
24/02/2003,0.33,100%,0.141,28/02/2003,19/03/2003
27/08/2003,0.44,100%,0.189,02/09/2003,23/09/2003
19/02/2004,0.35,100%,0.15,25/02/2004,17/03/2004
27/08/2004,0.44,100%,0.189,02/09/2004,23/09/2004
21/02/2005,0.35,100%,0.15,25/02/2005,15/03/2005
26/08/2005,0.45,100%,0.193,01/09/2005,22/09/2005
20/02/2006,0.45,100%,0.193,24/02/2006,14/03/2006
25/08/2006,0.55,100%,0.236,31/08/2006,21/09/2006
26/02/2007,0.55,100%,0.236,02/03/2007,20/03/2007
31/08/2007,0.7,100%,0.3,06/09/2007,27/09/2007
25/02/2008,0.7,100%,0.3,29/02/2008,18/03/2008
29/08/2008,0.8,100%,0.343,04/09/2008,25/09/2008
23/02/2009,0.8,100%,0.343,27/02/2009,17/03/2009
28/08/2009,0.95,100%,0.407,03/09/2009,24/09/2009
22/02/2010,0.95,100%,0.407,26/02/2010,16/03/2010
27/08/2010,1.05,60%,0.27,02/09/2010,23/09/2010
21/02/2011,1.05,60%,0.27,28/02/2011,15/03/2011
26/08/2011,1.2,70%,0.36,02/09/2011,22/09/2011
22/02/2012,1.2,60%,0.309,29/02/2012,13/03/2012
24/08/2012,1.25,35%,0.188,30/08/2012,20/09/2012
21/02/2013,1.25,40%,0.214,27/02/2013,12/03/2013
23/08/2013,1.27,30%,0.163,29/08/2013,19/09/2013
28/02/2014,1.27,0%,0,06/03/2014,27/03/2014
02/09/2014,1.27,20%,0.109,04/09/2014,25/09/2014
03/03/2015,0.9,35%,0.135,05/03/2015,26/03/2015
08/09/2015,1,100%,0.429,10/09/2015,01/10/2015
10/03/2016,1.1,100%,0.471,11/03/2016,01/04/2016
