EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE,TYPE
25/09/1997,0.08,100%,0.034,3/10/1997,16/10/1997,Final
12/03/1998,0.02,100%,0.009,20/03/1998,26/03/1998,Interim
30/09/1998,0.02,100%,0.009,9/10/1998,22/10/1998,Final
15/03/1999,0.02,100%,0.009,19/03/1999,26/03/1999,Interim
8/09/1999,0.02,100%,0.009,14/09/1999,28/09/1999,Final
15/03/2000,0.005,100%,0.002,21/03/2000,28/03/2000,Interim
12/09/2000,0.005,100%,0.002,18/09/2000,29/09/2000,Final
7/03/2001,0.005,100%,0.002,14/03/2001,28/03/2001,Interim
6/09/2001,0.005,100%,0.002,12/09/2001,28/09/2001,Final
6/03/2002,0.005,100%,0.002,13/03/2002,20/03/2002,Interim
6/09/2002,0.025,100%,0.011,12/09/2002,26/09/2002,Final
7/03/2003,0.025,100%,0.011,14/03/2003,28/03/2003,Interim
8/09/2003,0.025,100%,0.011,12/09/2003,26/09/2003,Final
5/03/2004,0.03,100%,0.013,12/03/2004,26/03/2004,Interim
31/08/2004,0.05,100%,0.021,6/09/2004,24/09/2004,Final
2/03/2005,0.05,10%,0.002,8/03/2005,1/04/2005,Interim
5/09/2005,0.06,0%,0,9/09/2005,23/09/2005,Final
28/02/2006,0.06,0%,0,6/03/2006,24/03/2006,Interim
4/09/2006,0.07,0%,0,8/09/2006,22/09/2006,Final
27/02/2007,0.08,0%,0,5/03/2007,23/03/2007,Interim
31/08/2007,0.09,0%,0,6/09/2007,21/09/2007,Final
26/02/2008,0.1,20%,0.009,3/03/2008,25/03/2008,Interim
1/09/2008,0.11,30%,0.014,5/09/2008,19/09/2008,Final
17/02/2009,0.11,40%,0.019,23/02/2009,25/03/2009,Interim
18/08/2009,0.11,50%,0.024,24/08/2009,23/09/2009,Final
16/02/2010,0.14,50%,0.03,22/02/2010,16/03/2010,Interim
17/08/2010,0.14,60%,0.036,23/08/2010,14/09/2010,Final
15/02/2011,0.14,60%,0.036,21/02/2011,15/03/2011,Interim
16/08/2011,0.14,60%,0.036,22/08/2011,13/09/2011,Final
27/02/2012,0.14,60%,0.036,2/03/2012,23/03/2012,Interim
14/08/2012,0.14,60%,0.036,20/08/2012,11/09/2012,Final
19/02/2013,0.14,20%,0.012,25/02/2013,19/03/2013,Interim
20/08/2013,0.14,20%,0.012,26/08/2013,17/09/2013,Final
18/02/2014,0.14,20%,0.012,24/02/2014,18/03/2014,Interim
19/08/2014,0.15,20%,0.013,21/08/2014,16/09/2014,Final
19/02/2015,0.15,20%,0.013,23/02/2015,18/03/2015,Interim
18/08/2015,0.16,25%,0.017,20/08/2015,15/09/2015,Final
18/02/2016,0.16,100%,0.069,22/02/2016,16/03/2016,Interim
