EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
29/10/1997,0.1,100%,0.043,07/11/1997,20/11/1997
03/04/1998,0.06,100%,0.026,15/04/1998,29/04/1998
23/09/1998,0.12,100%,0.051,01/10/1998,15/10/1998
08/04/1999,0.07,100%,0.03,14/04/1999,28/04/1999
27/09/1999,0.14,100%,0.06,01/10/1999,14/10/1999
06/04/2000,0.08,100%,0.034,12/04/2000,26/04/2000
22/09/2000,0.15,100%,0.064,28/09/2000,12/10/2000
05/04/2001,0.09,100%,0.039,11/04/2001,24/04/2001
21/09/2001,0.17,100%,0.073,27/09/2001,11/10/2001
05/04/2002,0.12,100%,0.051,11/04/2002,23/04/2002
20/09/2002,0.22,100%,0.094,26/09/2002,10/10/2002
31/03/2003,0.12,100%,0.051,04/04/2003,15/04/2003
22/09/2003,0.22,100%,0.094,26/09/2003,10/10/2003
29/03/2004,0.12,100%,0.051,02/04/2004,13/04/2004
20/09/2004,0.26,100%,0.111,24/09/2004,08/10/2004
16/03/2005,0.17,100%,0.073,22/03/2005,15/04/2005
30/08/2005,0.4,79.45%,0.136,05/09/2005,10/10/2005
14/03/2006,0.28,0%,0,20/03/2006,13/04/2006
18/09/2006,0.4,0%,0,22/09/2006,13/10/2006
14/03/2007,0.49,0%,0,20/03/2007,13/04/2007
17/09/2007,0.55,50%,0.118,21/09/2007,12/10/2007
14/03/2008,0.23,0%,0,20/03/2008,14/04/2008
16/09/2008,0.23,100%,0.099,22/09/2008,10/10/2008
10/03/2009,0.3,0%,0,16/03/2009,09/04/2009
14/09/2009,0.4,0%,0,18/09/2009,09/10/2009
09/03/2010,0.35,0%,0,15/03/2010,09/04/2010
13/09/2010,0.45,11.74%,0.023,17/09/2010,08/10/2010
08/03/2011,0.35,0%,0,15/03/2011,08/04/2011
19/09/2011,0.45,4%,0.008,26/09/2011,14/10/2011
14/03/2012,0.36,0%,0,21/03/2012,13/04/2012
17/09/2012,0.47,0%,0,21/09/2012,12/10/2012
05/03/2013,0.4866,0%,0,12/03/2013,05/04/2013
09/09/2013,0.5698,0%,0,13/09/2013,04/10/2013
05/03/2014,0.5888,0%,0,12/03/2014,04/04/2014
08/09/2014,0.6485,0%,0,10/09/2014,03/10/2014
16/03/2015,0.7439,0%,0,18/03/2015,10/04/2015
07/09/2015,0.8999,0%,0,09/09/2015,02/10/2015
23/03/2016,0.8147,0%,0,24/03/2016,15/04/2016
