EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE,TYPE
20/11/1997,0.11,50%,0.0236,28/11/1997,17/12/1997,Final
26/05/1998,0.11,33.33%,0.0157,3/06/1998,1/07/1998,Interim
20/11/1998,0.11,33.33%,0.0157,30/11/1998,17/12/1998,Final
3/06/1999,0.12,33.32%,0.0171,9/06/1999,6/07/1999,Interim
24/11/1999,0.11,33.33%,0.0157,30/11/1999,17/12/1999,Final
2/06/2000,0.12,33.34%,0.0172,8/06/2000,6/07/2000,Interim
24/11/2000,0.11,33.30%,0.0157,30/11/2000,18/12/2000,Final
1/06/2001,0.12,40%,0.0206,7/06/2001,5/07/2001,Interim
26/11/2001,0.11,40%,0.0189,30/11/2001,17/12/2001,Final
31/05/2002,0.13,70%,0.039,6/06/2002,4/07/2002,Interim
25/11/2002,0.11,70%,0.033,29/11/2002,16/12/2002,Final
30/05/2003,0.06,70%,0.018,5/06/2003,3/07/2003,Interim
25/11/2003,0.05,70%,0.015,1/12/2003,15/12/2003,Final
1/06/2004,0.06,70%,0.018,7/06/2004,1/07/2004,Interim
15/11/2004,0.06,100%,0.0257,19/11/2004,3/12/2004,Final
7/06/2005,0.06,100%,0.0257,14/06/2005,4/07/2005,Interim
14/11/2005,0.06,100%,0.0257,18/11/2005,9/12/2005,Final
6/06/2006,0.09,100%,0.0386,13/06/2006,5/07/2006,Interim
14/11/2006,0.06,100%,0.0257,20/11/2006,11/12/2006,Final
5/06/2007,0.09,100%,0.0386,12/06/2007,3/07/2007,Interim
13/11/2007,0.06,100%,0.0257,19/11/2007,17/12/2007,Final
4/06/2008,0.09,100%,0.0386,11/06/2008,3/07/2008,Interim
10/11/2008,0.06,100%,0.0257,14/11/2008,12/12/2008,Final
3/06/2009,0.015,100%,0.0064,10/06/2009,3/07/2009,Interim
4/11/2009,0.025,100%,0.0107,10/11/2009,23/12/2009,Final
9/06/2010,0.06,100%,0.0257,16/06/2010,6/07/2010,Interim
9/11/2010,0.03,100%,0.0129,15/11/2010,10/12/2010,Final
12/01/2011,0.0913,100%,0.0391,19/01/2011,2/02/2011,Interim
7/06/2011,0.053,100%,0.0227,14/06/2011,5/07/2011,Final
21/11/2011,0.06,100%,0.0257,25/11/2011,16/12/2011,Interim
7/06/2012,0.07,100%,0.03,14/06/2012,9/07/2012,Final
20/11/2012,0.03,0%,0,26/11/2012,18/12/2012,Interim
6/06/2013,0.021,0%,0,13/06/2013,9/07/2013,Final
19/11/2013,0.05,0%,0,25/11/2013,17/12/2013,Interim
3/06/2014,0.05,0%,0,5/06/2014,8/07/2014,Final
13/11/2014,0.085,0%,0,17/11/2014,16/12/2014,Interim
2/06/2015,0.115,0%,0,4/06/2015,7/07/2015,Final
12/11/2015,0.115,0%,0,16/11/2015,15/12/2015,Interim
1/06/2016,0.12,0%,0,2/06/2016,5/07/2016,Final
11/11/2016,0.13,0%,0,14/11/2016,13/12/2016,Interim
1/06/2017,0.13,50%,0.0279,2/06/2017,4/07/2017,Final
10/11/2017,0.135,50%,0.0289,13/11/2017,12/12/2017,Interim
31/05/2018,0.135,75%,0.0434,1/06/2018,3/07/2018,Final
9/11/2018,0.13,100%,0.0557,12/11/2018,11/12/2018,Interim
30/05/2019,0.13,50%,0.0279,31/05/2019,2/07/2019,Final
8/11/2019,0.1,50%,0.03,11/11/2019,10/12/2019,Interim
8/11/2019,0.04,50%,0.03,11/11/2019,10/12/2019,Special
6/11/2020,0.04,100%,,,8/12/2020,Interim
