EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
08/03/2011,0.03,0%,0,15/03/2011,31/03/2011
05/09/2011,0.04,100%,0.017,12/09/2011,30/09/2011
07/03/2012,0.04,100%,0.017,14/03/2012,02/04/2012
31/08/2012,0.04,100%,0.017,06/09/2012,02/10/2012
02/09/2013,0.1,100%,0.043,06/09/2013,04/10/2013
27/02/2014,0.1,100%,0.043,05/03/2014,02/04/2014
01/09/2014,0.1,100%,0.043,03/09/2014,03/10/2014
02/03/2015,0.03,100%,0.013,04/03/2015,07/04/2015
03/09/2015,0.02,100%,0.009,07/09/2015,05/10/2015
02/03/2016,0.03,100%,0.013,04/03/2016,07/04/2016
