EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE,TYPE
24/10/1997,0.06,0%,0,03/11/1997,17/11/1997,Final
25/03/1998,0.035,0%,0,02/04/1998,15/04/1998,Interim
25/09/1998,0.06,0%,0,06/10/1998,20/10/1998,Final
11/03/1999,0.04,100%,0.017,17/03/1999,31/03/1999,Interim
29/09/1999,0.065,100%,0.028,06/10/1999,20/10/1999,Final
28/02/2000,0.045,100%,0.019,03/03/2000,10/03/2000,Interim
04/10/2000,0.07,100%,0.03,10/10/2000,17/10/2000,Final
05/03/2001,0.045,100%,0.019,09/03/2001,16/03/2001,Interim
14/09/2001,0.07,100%,0.03,20/09/2001,17/10/2001,Final
04/03/2002,0.045,100%,0.019,08/03/2002,15/03/2002,Interim
30/09/2002,0.07,100%,0.03,04/10/2002,17/10/2002,Final
27/02/2003,0.05,100%,0.021,05/03/2003,12/03/2003,Interim
27/10/2003,0.08,100%,0.034,31/10/2003,14/11/2003,Final
17/03/2004,0.055,100%,0.024,23/03/2004,06/04/2004,Interim
22/09/2004,0.11,100%,0.047,28/09/2004,21/10/2004,Final
25/02/2005,0.075,100%,0.032,03/03/2005,31/03/2005,Interim
05/09/2005,0.16,100%,0.069,09/09/2005,11/10/2005,Final
09/03/2006,0.08,100%,0.034,16/03/2006,12/04/2006,Interim
05/09/2006,0.115,100%,0.049,11/09/2006,06/10/2006,Final
20/02/2007,0.1,100%,0.043,26/02/2007,21/03/2007,Interim
29/08/2007,0.1,100%,0.043,04/09/2007,27/09/2007,Final
26/02/2008,0.1,75%,0.032,03/03/2008,31/03/2008,Interim
27/08/2008,0.1,75%,0.032,02/09/2008,02/10/2008,Final
27/02/2009,0.02,75%,0.006,05/03/2009,19/03/2009,Interim
01/03/2010,0.011,0%,0,05/03/2010,19/03/2010,Interim
03/09/2010,0.014,100%,0.006,09/09/2010,23/09/2010,Final
01/03/2011,0.015,100%,0.006,07/03/2011,21/03/2011,Interim
06/09/2011,0.015,100%,0.006,13/09/2011,27/09/2011,Final
01/03/2012,0.02,100%,0.009,07/03/2012,21/03/2012,Interim
03/09/2012,0.01,100%,0.004,07/09/2012,21/09/2012,Final
28/02/2013,0.01,100%,0.004,06/03/2013,20/03/2013,Interim
28/08/2013,0.01,100%,0.004,03/09/2013,17/09/2013,Final
27/02/2014,0.02,100%,0.009,05/03/2014,19/03/2014,Interim
22/08/2014,0.02,100%,0.009,26/08/2014,09/09/2014,Final
02/03/2015,0.02,100%,0.009,04/03/2015,18/03/2015,Interim
21/08/2015,0.02,50%,0.004,25/08/2015,08/09/2015,Final
01/03/2016,0.02,50%,0.004,03/03/2016,18/03/2016,Interim
