EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
15/10/1997,0.07,100%,0.03,23/10/1997,08/12/1997
07/04/1998,0.05,100%,0.021,17/04/1998,04/05/1998
09/11/1998,0.05,100%,0.021,17/11/1998,07/12/1998
12/04/1999,0.075,100%,0.032,16/04/1999,03/05/1999
15/11/1999,0.015,100%,0.006,19/11/1999,06/12/1999
10/04/2000,0.015,100%,0.006,14/04/2000,01/05/2000
13/11/2000,0.02,100%,0.009,17/11/2000,04/12/2000
17/04/2001,0.02,100%,0.009,23/04/2001,07/05/2001
12/11/2001,0.02,100%,0.009,16/11/2001,03/12/2001
16/04/2002,0.02,100%,0.009,22/04/2002,06/05/2002
11/11/2002,0.025,100%,0.011,15/11/2002,02/12/2002
14/04/2003,0.025,100%,0.011,22/04/2003,05/05/2003
10/11/2003,0.025,100%,0.011,14/11/2003,05/12/2003
14/04/2004,0.03,100%,0.013,20/04/2004,07/05/2004
08/11/2004,0.045,100%,0.019,12/11/2004,10/12/2004
18/04/2005,0.03,100%,0.013,22/04/2005,13/05/2005
07/11/2005,0.035,100%,0.015,11/11/2005,12/12/2005
11/04/2006,0.04,100%,0.017,19/04/2006,08/05/2006
03/11/2006,0.04,100%,0.017,10/11/2006,11/12/2006
16/04/2007,0.05,100%,0.021,20/04/2007,07/05/2007
02/11/2007,0.06,100%,0.026,09/11/2007,10/12/2007
14/04/2008,0.07,100%,0.03,18/04/2008,05/05/2008
31/10/2008,0.07,100%,0.03,07/11/2008,08/12/2008
09/04/2009,0.05,100%,0.021,17/04/2009,04/05/2009
30/10/2009,0.06,100%,0.026,06/11/2009,07/12/2009
12/04/2010,0.07,100%,0.03,16/04/2010,03/05/2010
29/10/2010,0.07,100%,0.03,05/11/2010,06/12/2010
11/04/2011,0.06,100%,0.026,18/04/2011,02/05/2011
28/10/2011,0.06,100%,0.026,04/11/2011,05/12/2011
05/04/2012,0.05,100%,0.021,12/04/2012,07/05/2012
29/10/2012,0.04,100%,0.017,02/11/2012,03/12/2012
08/04/2013,0.045,100%,0.019,12/04/2013,06/05/2013
28/10/2013,0.045,100%,0.019,01/11/2013,02/12/2013
07/04/2014,0.06,100%,0.026,11/04/2014,05/05/2014
30/10/2014,0.08,100%,0.034,03/11/2014,01/12/2014
10/12/2014,0.14,100%,0.06,12/12/2014,30/12/2014
08/04/2015,0.09,100%,0.039,10/04/2015,04/05/2015
29/10/2015,0.11,100%,0.047,02/11/2015,01/12/2015
07/04/2016,0.13,100%,0.056,08/04/2016,02/05/2016
