EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
26/03/2002,0.045,100%,0.019,03/04/2002,29/04/2002
19/09/2002,0.06,100%,0.026,25/09/2002,21/10/2002
05/03/2003,0.045,100%,0.019,12/03/2003,14/04/2003
04/09/2003,0.07,100%,0.03,10/09/2003,13/10/2003
11/03/2004,0.08,100%,0.034,17/03/2004,19/04/2004
09/09/2004,0.14,100%,0.06,15/09/2004,18/10/2004
09/03/2005,0.12,100%,0.051,16/03/2005,18/04/2005
08/09/2005,0.145,100%,0.062,14/09/2005,17/10/2005
02/03/2006,0.135,100%,0.058,08/03/2006,10/04/2006
18/05/2006,0.125,100%,0.054,24/05/2006,26/06/2006
31/08/2006,0.16,100%,0.069,06/09/2006,09/10/2006
07/03/2007,0.135,100%,0.058,14/03/2007,16/04/2007
30/08/2007,0.16,100%,0.069,05/09/2007,08/10/2007
05/03/2008,0.135,100%,0.058,12/03/2008,14/04/2008
28/08/2008,0.09,100%,0.039,03/09/2008,03/10/2008
04/03/2009,0.04,100%,0.017,11/03/2009,08/04/2009
27/08/2009,0.06,100%,0.026,02/09/2009,02/10/2009
03/03/2010,0.085,100%,0.036,10/03/2010,12/04/2010
02/09/2010,0.045,100%,0.019,08/09/2010,06/10/2010
03/03/2011,0.09,100%,0.039,10/03/2011,11/04/2011
01/09/2011,0.07,100%,0.03,08/09/2011,05/10/2011
01/03/2012,0.05,100%,0.021,08/03/2012,04/04/2012
30/08/2012,0.12,100%,0.051,05/09/2012,03/10/2012
28/02/2013,0.11,100%,0.047,06/03/2013,03/04/2013
05/09/2013,0.25,100%,0.107,11/09/2013,09/10/2013
27/02/2014,0.13,100%,0.056,05/03/2014,02/04/2014
08/09/2014,0.26,100%,0.111,10/09/2014,08/10/2014
02/03/2015,0.13,100%,0.056,04/03/2015,01/04/2015
07/09/2015,0.16,100%,0.069,09/09/2015,07/10/2015
29/02/2016,0.23,100%,0.099,02/03/2016,30/03/2016
