EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
20020326,0.045,100%,0.019,20020403,20020429
20020919,0.06,100%,0.026,20020925,20021021
20030305,0.045,100%,0.019,20030312,20030414
20030904,0.07,100%,0.03,20030910,20031013
20040311,0.08,100%,0.034,20040317,20040419
20040909,0.14,100%,0.06,20040915,20041018
20050309,0.12,100%,0.051,20050316,20050418
20050908,0.145,100%,0.062,20050914,20051017
20060302,0.135,100%,0.058,20060308,20060410
20060518,0.125,100%,0.054,20060524,20060626
20060831,0.16,100%,0.069,20060906,20061009
20070307,0.135,100%,0.058,20070314,20070416
20070830,0.16,100%,0.069,20070905,20071008
20080305,0.135,100%,0.058,20080312,20080414
20080828,0.09,100%,0.039,20080903,20081003
20090304,0.04,100%,0.017,20090311,20090408
20090827,0.06,100%,0.026,20090902,20091002
20100303,0.085,100%,0.036,20100310,20100412
20100902,0.045,100%,0.019,20100908,20101006
20110303,0.09,100%,0.039,20110310,20110411
20110901,0.07,100%,0.03,20110908,20111005
20120301,0.05,100%,0.021,20120308,20120404
20120830,0.12,100%,0.051,20120905,20121003
20130228,0.11,100%,0.047,20130306,20130403
20130905,0.25,100%,0.107,20130911,20131009
20140227,0.13,100%,0.056,20140305,20140402
20140908,0.26,100%,0.111,20140910,20141008
20150302,0.13,100%,0.056,20150304,20150401
20150907,0.16,100%,0.069,20150909,20151007
20160229,0.23,100%,0.099,20160302,20160330
