EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
25/03/2004,0.036,100%,0.015,31/03/2004,14/04/2004
30/09/2004,0.036,100%,0.015,07/10/2004,21/10/2004
23/03/2005,0.036,100%,0.015,31/03/2005,14/04/2005
30/09/2005,0.036,100%,0.015,07/10/2005,21/10/2005
27/03/2006,0.036,100%,0.015,31/03/2006,13/04/2006
27/09/2006,0.04,100%,0.017,04/10/2006,18/10/2006
20/03/2007,0.05,100%,0.021,26/03/2007,16/04/2007
17/08/2007,0.06,100%,0.026,23/08/2007,11/09/2007
15/02/2008,0.1,100%,0.043,21/02/2008,19/03/2008
22/08/2008,0.16,100%,0.069,28/08/2008,16/09/2008
13/02/2009,0.15,100%,0.064,19/02/2009,10/03/2009
17/08/2009,0.29,100%,0.124,21/08/2009,09/09/2009
11/02/2010,0.33,100%,0.141,17/02/2010,05/03/2010
17/08/2010,0.33,100%,0.141,23/08/2010,03/09/2010
11/02/2011,0.48,100%,0.206,18/02/2011,04/03/2011
17/08/2011,0.29,100%,0.124,24/08/2011,02/09/2011
17/02/2012,0.49,100%,0.21,24/02/2012,09/03/2012
20/08/2012,0.16,100%,0.069,24/08/2012,07/09/2012
15/02/2013,0.5,100%,0.214,21/02/2013,08/03/2013
19/08/2013,0.22,100%,0.094,23/08/2013,06/09/2013
10/02/2014,0.55,100%,0.236,14/02/2014,28/02/2014
20/08/2014,0.29,100%,0.124,22/08/2014,05/09/2014
11/02/2015,0.59,100%,0.253,13/02/2015,27/02/2015
26/08/2015,0.31,100%,0.133,28/08/2015,11/09/2015
17/02/2016,0.63,100%,0.27,19/02/2016,04/03/2016
