EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
09/11/2010,0.055,100%,0.024,15/11/2010,25/11/2010
22/03/2011,0.022,0%,0,29/03/2011,07/04/2011
08/11/2011,0.0537,100%,0.023,15/11/2011,24/11/2011
04/06/2012,0.0234,100%,0.01,11/06/2012,19/06/2012
05/11/2012,0.054866,100%,0.024,12/11/2012,22/11/2012
03/06/2013,0.025086,100%,0.011,07/06/2013,18/06/2013
06/11/2013,0.079407,100%,0.034,12/11/2013,22/11/2013
04/06/2014,0.024,100%,0.01,06/06/2014,17/06/2014
06/11/2014,0.0711,100%,0.03,10/11/2014,21/11/2014
03/06/2015,0.0278,85.01%,0.01,05/06/2015,19/06/2015
05/11/2015,0.0464,100%,0.02,09/11/2015,20/11/2015
02/06/2016,0.0267,0%,0,03/06/2016,17/06/2016
