EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
20101109,0.055,100%,0.024,20101115,20101125
20110322,0.022,0%,0,20110329,20110407
20111108,0.0537,100%,0.023,20111115,20111124
20120604,0.0234,100%,0.01,20120611,20120619
20121105,0.054866,100%,0.024,20121112,20121122
20130603,0.025086,100%,0.011,20130607,20130618
20131106,0.079407,100%,0.034,20131112,20131122
20140604,0.024,100%,0.01,20140606,20140617
20141106,0.0711,100%,0.03,20141110,20141121
20150603,0.0278,85.01%,0.01,20150605,20150619
20151105,0.0464,100%,0.02,20151109,20151120
20160602,0.0267,0%,0,20160603,20160617
