EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
03/01/2008,1.45,100%,0.621,09/01/2008,30/01/2008
26/05/2008,2,100%,0.857,30/05/2008,04/07/2008
24/11/2008,1.45,80%,0.497,28/11/2008,19/12/2008
11/05/2009,0.4,60%,0.103,15/05/2009,03/07/2009
09/11/2009,0.86,0%,0,13/11/2009,16/12/2009
10/05/2010,1,0%,0,14/05/2010,02/07/2010
08/11/2010,0.86,0%,0,12/11/2010,15/12/2010
04/05/2011,0.75,0%,0,11/05/2011,03/07/2012
09/05/2011,1,0%,0,16/05/2011,04/07/2011
07/11/2011,0.65,0%,0,14/11/2011,14/12/2011
07/05/2012,0.75,0%,0,11/05/2012,02/07/2012
02/11/2012,0.75,0%,0,09/11/2012,12/12/2012
13/05/2013,1.25,40%,0.214,17/05/2013,02/07/2013
11/11/2013,1,40%,0.171,15/11/2013,12/12/2013
14/05/2014,1.6,40%,0.274,16/05/2014,02/07/2014
12/11/2014,1.3,40%,0.223,14/11/2014,16/12/2014
18/05/2015,2,40%,0.343,20/05/2015,02/07/2015
09/11/2015,1.6,40%,0.274,11/11/2015,16/12/2015
