EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
19/03/2010,0.105,100%,0.045,25/03/2010,06/05/2010
24/09/2010,0.115,100%,0.049,30/09/2010,04/11/2010
25/03/2011,0.11,100%,0.047,01/04/2011,12/05/2011
26/09/2011,0.115,100%,0.049,03/10/2011,16/11/2011
26/03/2012,0.1,100%,0.043,02/04/2012,10/05/2012
24/09/2012,0.09,100%,0.039,28/09/2012,14/11/2012
22/03/2013,0.1,100%,0.043,28/03/2013,09/05/2013
24/09/2013,0.08,100%,0.034,30/09/2013,14/11/2013
25/03/2014,0.09,100%,0.039,31/03/2014,08/05/2014
25/09/2014,0.055,100%,0.024,29/09/2014,13/11/2014
26/03/2015,0.07,100%,0.03,30/03/2015,07/05/2015
24/03/2016,0.02,100%,0.009,29/03/2016,05/05/2016
