EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
20100319,0.105,100%,0.045,20100325,20100506
20100924,0.115,100%,0.049,20100930,20101104
20110325,0.11,100%,0.047,20110401,20110512
20110926,0.115,100%,0.049,20111003,20111116
20120326,0.1,100%,0.043,20120402,20120510
20120924,0.09,100%,0.039,20120928,20121114
20130322,0.1,100%,0.043,20130328,20130509
20130924,0.08,100%,0.034,20130930,20131114
20140325,0.09,100%,0.039,20140331,20140508
20140925,0.055,100%,0.024,20140929,20141113
20150326,0.07,100%,0.03,20150330,20150507
20160324,0.02,100%,0.009,20160329,20160505
