EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
26-06-97,0.45,100%,0.193,04-07-97,22-07-97
20-11-97,0.49,100%,0.21,28-11-97,17-12-97
25-06-98,0.49,100%,0.21,03-07-98,22-07-98
19-11-98,0.53,100%,0.227,27-11-98,16-12-98
28-06-99,0.54,100%,0.231,02-07-99,21-07-99
22-11-99,0.58,79%,0.196,26-11-99,15-12-99
09-06-00,0.59,100%,0.253,16-06-00,05-07-00
20-11-00,0.64,100%,0.274,24-11-00,13-12-00
08-06-01,0.67,100%,0.287,15-06-01,04-07-01
19-11-01,0.68,100%,0.291,23-11-01,12-12-01
07-06-02,0.72,100%,0.309,14-06-02,03-07-02
18-11-02,0.75,90%,0.289,22-11-02,11-12-02
06-06-03,0.8,100%,0.343,13-06-03,02-07-03
17-11-03,0.83,100%,0.356,21-11-03,10-12-03
07-06-04,0.83,100%,0.356,11-06-04,14-07-04
15-11-04,0.83,100%,0.356,19-11-04,08-12-04
02-06-05,0.83,80%,0.285,08-06-05,13-07-05
21-11-05,0.83,80%,0.285,25-11-05,19-12-05
02-06-06,0.83,80%,0.285,08-06-06,13-07-06
10-11-06,0.84,90%,0.324,16-11-06,12-12-06
01-06-07,0.87,90%,0.336,07-06-07,12-07-07
16-11-07,0.95,100%,0.407,22-11-07,18-12-07
30-05-08,0.97,100%,0.416,05-06-08,10-07-08
07-11-08,0.97,100%,0.416,13-11-08,17-12-08
04-06-09,0.73,100%,0.313,11-06-09,09-07-09
13-11-09,0.73,100%,0.313,19-11-09,17-12-09
04-06-10,0.74,100%,0.317,10-06-10,08-07-10
12-11-10,0.78,100%,0.334,18-11-10,17-12-10
02-06-11,0.84,100%,0.36,09-06-11,06-07-11
10-11-11,0.88,100%,0.377,17-11-11,19-12-11
31-05-12,0.9,100%,0.386,06-06-12,16-07-12
09-11-12,0.9,100%,0.386,15-11-12,18-12-12
30-05-13,0.93,100%,0.399,05-06-13,16-07-13
07-11-13,0.97,100%,0.416,13-11-13,18-12-13
14-05-14,0.99,100%,0.424,16-05-14,08-07-14
07-11-14,0.99,100%,0.424,11-11-14,16-12-14
15-05-15,0.99,100%,0.424,19-05-15,03-07-15
05-11-15,0.99,100%,0.424,09-11-15,15-12-15
