EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE,TYPE
3/09/2014,0.042,0%,0,5/09/2014,17/10/2014,Final
6/03/2015,0.042,0%,0,11/03/2015,17/04/2015,Interim
14/09/2015,0.05,100%,0.0214,16/09/2015,19/10/2015,Final
2/03/2016,0.08,100%,0.0343,4/03/2016,19/04/2016,Interim
5/09/2016,0.04,100%,0.0171,6/09/2016,19/10/2016,Final
7/03/2017,0.045,100%,0.0193,8/03/2017,19/04/2017,Interim
4/09/2017,0.05,100%,0.0214,5/09/2017,19/10/2017,Final
6/03/2018,0.05,100%,0.0214,7/03/2018,18/04/2018,Interim
4/09/2018,0.05,100%,0.0214,5/09/2018,17/10/2018,Final
5/03/2019,0.05,100%,0.0214,6/03/2019,18/04/2019,Interim
26/09/2019,0.05,100%,0.0214,27/09/2019,17/10/2019,Final
5/03/2020,0.05,100%,0.0214,6/03/2020,20/04/2020,Interim
9/09/2020,0.02,100%,,,20/10/2020,Final
