EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
15/09/2008,0.021,100%,0.009,19/09/2008,10/10/2008
04/03/2009,0.03,100%,0.013,11/03/2009,03/04/2009
14/09/2009,0.044,100%,0.019,18/09/2009,09/10/2009
05/03/2010,0.02,100%,0.009,12/03/2010,08/04/2010
30/08/2010,0.05,100%,0.021,03/09/2010,27/09/2010
07/03/2011,0.04,100%,0.017,14/03/2011,08/04/2011
30/08/2011,0.09,100%,0.039,06/09/2011,30/09/2011
05/03/2012,0.0425,100%,0.018,12/03/2012,05/04/2012
03/09/2012,0.05,100%,0.021,07/09/2012,05/10/2012
04/03/2013,0.05,100%,0.021,08/03/2013,05/04/2013
05/09/2013,0.05,100%,0.021,11/09/2013,04/10/2013
03/03/2014,0.0525,100%,0.023,07/03/2014,04/04/2014
10/09/2014,0.1475,100%,0.063,12/09/2014,03/10/2014
04/03/2015,0.055,100%,0.024,06/03/2015,02/04/2015
09/09/2015,0.06,100%,0.026,11/09/2015,09/10/2015
02/03/2016,0.0575,100%,0.025,04/03/2016,01/04/2016
