EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
20080915,0.021,100%,0.009,20080919,20081010
20090304,0.03,100%,0.013,20090311,20090403
20090914,0.044,100%,0.019,20090918,20091009
20100305,0.02,100%,0.009,20100312,20100408
20100830,0.05,100%,0.021,20100903,20100927
20110307,0.04,100%,0.017,20110314,20110408
20110830,0.09,100%,0.039,20110906,20110930
20120305,0.0425,100%,0.018,20120312,20120405
20120903,0.05,100%,0.021,20120907,20121005
20130304,0.05,100%,0.021,20130308,20130405
20130905,0.05,100%,0.021,20130911,20131004
20140303,0.0525,100%,0.023,20140307,20140404
20140910,0.1475,100%,0.063,20140912,20141003
20150304,0.055,100%,0.024,20150306,20150402
20150909,0.06,100%,0.026,20150911,20151009
20160302,0.0575,100%,0.025,20160304,20160401
