EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
28/08/2008,0.05,0%,0,03/09/2008,29/09/2008
01/09/2010,0.03,0%,0,07/09/2010,21/09/2010
17/02/2011,0.04,0%,0,24/02/2011,09/03/2011
23/08/2011,0.3,0%,0,30/08/2011,16/09/2011
20/02/2012,0.3,0%,0,27/02/2012,09/03/2012
05/09/2012,0.1,0%,0,11/09/2012,25/09/2012
20/02/2013,0.2,0%,0,26/02/2013,12/03/2013
05/09/2013,0.1,0%,0,11/09/2013,25/09/2013
20/02/2014,0.1,0%,0,26/02/2014,13/03/2014
09/09/2014,0.1,0%,0,11/09/2014,25/09/2014
08/09/2015,0.06,0%,0,10/09/2015,24/09/2015
22/02/2016,0.14,0%,0,24/02/2016,10/03/2016
