EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
23/10/1997,0.03,100%,0.013,31/10/1997,17/11/1997
22/04/1998,0.02,100%,0.009,30/04/1998,15/05/1998
22/10/1998,0.02,100%,0.009,30/10/1998,13/11/1998
26/03/1999,0.02,100%,0.009,01/04/1999,16/04/1999
11/10/1999,0.03,100%,0.013,15/10/1999,22/10/1999
27/03/2000,0.02,100%,0.009,31/03/2000,14/04/2000
03/10/2000,0.03,100%,0.013,09/10/2000,16/10/2000
26/03/2001,0.02,100%,0.009,30/03/2001,06/04/2001
28/09/2001,0.03,100%,0.013,05/10/2001,15/10/2001
04/10/2002,0.02,100%,0.009,11/10/2002,18/10/2002
25/03/2003,0.01,100%,0.004,31/03/2003,11/04/2003
29/09/2003,0.03,100%,0.013,03/10/2003,17/10/2003
19/03/2004,0.015,100%,0.006,25/03/2004,08/04/2004
28/09/2004,0.04,100%,0.017,05/10/2004,18/10/2004
23/03/2005,0.03,100%,0.013,31/03/2005,14/04/2005
27/09/2005,0.075,100%,0.032,04/10/2005,18/10/2005
27/03/2006,0.055,100%,0.024,31/03/2006,21/04/2006
28/09/2006,0.09,100%,0.039,05/10/2006,19/10/2006
26/03/2007,0.09,100%,0.039,30/03/2007,20/04/2007
24/09/2007,0.09,100%,0.039,28/09/2007,15/10/2007
25/03/2008,0.11,100%,0.047,31/03/2008,11/04/2008
23/09/2008,0.18,100%,0.077,29/09/2008,14/10/2008
07/04/2009,0.37,100%,0.159,15/04/2009,22/05/2009
06/10/2009,0.38,100%,0.163,12/10/2009,09/11/2009
25/03/2010,0.38,100%,0.163,31/03/2010,22/04/2010
05/10/2010,0.28,100%,0.12,11/10/2010,09/11/2010
11/04/2011,0.18,100%,0.077,18/04/2011,06/05/2011
04/10/2011,0.18,100%,0.077,11/10/2011,21/11/2011
16/04/2012,0.18,100%,0.077,23/04/2012,18/05/2012
04/10/2012,0.18,100%,0.077,10/10/2012,21/11/2012
15/04/2013,0.19,100%,0.081,19/04/2013,17/05/2013
03/10/2013,0.19,100%,0.081,10/10/2013,18/11/2013
10/04/2014,0.2,100%,0.086,16/04/2014,16/05/2014
07/10/2014,0.2,100%,0.086,09/10/2014,20/11/2014
23/04/2015,0.3,100%,0.129,27/04/2015,18/05/2015
07/10/2015,0.21,100%,0.09,09/10/2015,20/11/2015
21/04/2016,0.23,100%,0.099,22/04/2016,17/05/2016
