EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
29/08/1997,0.25,100%,0.107,08/09/1997,22/09/1997
12/03/1998,0.22,100%,0.094,20/03/1998,03/04/1998
27/08/1998,0.29,100%,0.124,04/09/1998,18/09/1998
22/02/1999,0.26,100%,0.111,26/02/1999,19/03/1999
23/08/1999,0.34,100%,0.146,27/08/1999,17/09/1999
28/02/2000,0.3,100%,0.129,03/03/2000,24/03/2000
29/05/2000,0.3,100%,0.129,02/06/2000,20/06/2000
05/09/2000,0.05,100%,0.021,11/09/2000,22/09/2000
02/03/2001,0.35,100%,0.15,08/03/2001,23/03/2001
04/06/2001,0.45,100%,0.193,08/06/2001,22/06/2001
02/10/2001,0.05,100%,0.021,08/10/2001,19/10/2001
04/03/2002,0.5,100%,0.214,08/03/2002,22/03/2002
30/05/2002,0.5,100%,0.214,05/06/2002,24/06/2002
02/09/2002,0.6,100%,0.257,06/09/2002,20/09/2002
03/03/2003,0.6,100%,0.257,07/03/2003,21/03/2003
04/06/2003,0.5,100%,0.214,11/06/2003,25/06/2003
12/08/2003,0.7,100%,0.3,18/08/2003,03/09/2003
01/03/2004,0.7,100%,0.3,05/03/2004,19/03/2004
03/06/2004,0.5,100%,0.214,09/06/2004,23/06/2004
27/08/2004,2.8,100%,1.2,02/09/2004,17/09/2004
28/02/2005,1.3,100%,0.557,04/03/2005,18/03/2005
23/08/2005,2.3,100%,0.986,29/08/2005,12/09/2005
27/02/2006,1.62,100%,0.694,03/03/2006,17/03/2006
22/08/2006,2.64,100%,1.131,28/08/2006,12/09/2006
26/02/2007,1.73,100%,0.741,02/03/2007,16/03/2007
27/08/2007,1.87,100%,0.801,31/08/2007,14/09/2007
25/02/2008,1.89,100%,0.81,29/02/2008,14/03/2008
25/08/2008,1.41,100%,0.604,29/08/2008,12/09/2008
23/02/2009,0.4,100%,0.171,27/02/2009,13/03/2009
27/08/2009,0.6,100%,0.257,02/09/2009,30/09/2009
04/03/2010,1.05,100%,0.45,11/03/2010,01/04/2010
01/09/2010,1.05,100%,0.45,07/09/2010,28/09/2010
03/03/2011,0.95,100%,0.407,10/03/2011,30/03/2011
31/08/2011,0.9,100%,0.386,07/09/2011,27/09/2011
02/03/2012,0.5,100%,0.214,09/03/2012,29/03/2012
07/09/2012,0.4,100%,0.171,13/09/2012,05/10/2012
06/03/2013,0.5,100%,0.214,13/03/2013,05/04/2013
06/09/2013,0.8,100%,0.343,12/09/2013,04/10/2013
07/03/2014,0.8,100%,0.343,14/03/2014,04/04/2014
09/09/2014,0.95,100%,0.407,11/09/2014,03/10/2014
03/03/2015,1.15,100%,0.493,05/03/2015,27/03/2015
01/09/2015,1.25,100%,0.536,03/09/2015,25/09/2015
01/03/2016,1.25,100%,0.536,03/03/2016,24/03/2016
