EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
19970829,0.25,100%,0.107,19970908,19970922
19980312,0.22,100%,0.094,19980320,19980403
19980827,0.29,100%,0.124,19980904,19980918
19990222,0.26,100%,0.111,19990226,19990319
19990823,0.34,100%,0.146,19990827,19990917
20000228,0.3,100%,0.129,20000303,20000324
20000529,0.3,100%,0.129,20000602,20000620
20000905,0.05,100%,0.021,20000911,20000922
20010302,0.35,100%,0.15,20010308,20010323
20010604,0.45,100%,0.193,20010608,20010622
20011002,0.05,100%,0.021,20011008,20011019
20020304,0.5,100%,0.214,20020308,20020322
20020530,0.5,100%,0.214,20020605,20020624
20020902,0.6,100%,0.257,20020906,20020920
20030303,0.6,100%,0.257,20030307,20030321
20030604,0.5,100%,0.214,20030611,20030625
20030812,0.7,100%,0.3,20030818,20030903
20040301,0.7,100%,0.3,20040305,20040319
20040603,0.5,100%,0.214,20040609,20040623
20040827,2.8,100%,1.2,20040902,20040917
20050228,1.3,100%,0.557,20050304,20050318
20050823,2.3,100%,0.986,20050829,20050912
20060227,1.62,100%,0.694,20060303,20060317
20060822,2.64,100%,1.131,20060828,20060912
20070226,1.73,100%,0.741,20070302,20070316
20070827,1.87,100%,0.801,20070831,20070914
20080225,1.89,100%,0.81,20080229,20080314
20080825,1.41,100%,0.604,20080829,20080912
20090223,0.4,100%,0.171,20090227,20090313
20090827,0.6,100%,0.257,20090902,20090930
20100304,1.05,100%,0.45,20100311,20100401
20100901,1.05,100%,0.45,20100907,20100928
20110303,0.95,100%,0.407,20110310,20110330
20110831,0.9,100%,0.386,20110907,20110927
20120302,0.5,100%,0.214,20120309,20120329
20120907,0.4,100%,0.171,20120913,20121005
20130306,0.5,100%,0.214,20130313,20130405
20130906,0.8,100%,0.343,20130912,20131004
20140307,0.8,100%,0.343,20140314,20140404
20140909,0.95,100%,0.407,20140911,20141003
20150303,1.15,100%,0.493,20150305,20150327
20150901,1.25,100%,0.536,20150903,20150925
20160301,1.25,100%,0.536,20160303,20160324
