EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
25/02/2008,0.12,100%,0.051,29/02/2008,12/03/2008
26/08/2008,0.12,100%,0.051,01/09/2008,22/09/2008
25/02/2009,0.08,100%,0.034,03/03/2009,13/03/2009
25/08/2009,0.12,100%,0.051,31/08/2009,22/09/2009
24/02/2010,0.08,100%,0.034,02/03/2010,16/03/2010
24/08/2010,0.14,100%,0.06,30/08/2010,22/09/2010
23/02/2011,0.1,100%,0.043,02/03/2011,15/03/2011
23/08/2011,0.15,100%,0.064,30/08/2011,22/09/2011
21/02/2012,0.08,100%,0.034,28/02/2012,12/03/2012
21/08/2012,0.13,100%,0.056,27/08/2012,21/09/2012
26/02/2013,0.08,100%,0.034,04/03/2013,18/03/2013
20/08/2013,0.14,100%,0.06,26/08/2013,23/09/2013
25/02/2014,0.14,100%,0.06,03/03/2014,17/03/2014
28/08/2014,0.2,100%,0.086,01/09/2014,23/09/2014
02/03/2015,0.27,100%,0.116,04/03/2015,18/03/2015
27/08/2015,0.2,100%,0.086,31/08/2015,22/09/2015
01/03/2016,0.16,100%,0.069,03/03/2016,22/03/2016
