EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
27/10/1997,0.065,100%,0.028,05/11/1997,03/12/1997
24/02/1998,0.065,100%,0.028,04/03/1998,01/04/1998
26/10/1998,0.07,100%,0.03,04/11/1998,02/12/1998
25/02/1999,0.08,100%,0.034,03/03/1999,31/03/1999
27/10/1999,0.245,100%,0.105,03/11/1999,01/12/1999
24/02/2000,0.11,100%,0.047,01/03/2000,29/03/2000
31/08/2000,0.11,100%,0.047,06/09/2000,04/10/2000
09/11/2000,0.37,100%,0.159,15/11/2000,13/12/2000
01/03/2001,0.11,100%,0.047,07/03/2001,04/04/2001
30/08/2001,0.09,100%,0.039,05/09/2001,03/10/2001
06/03/2002,0.08,100%,0.034,13/03/2002,10/04/2002
29/08/2002,0.09,100%,0.039,04/09/2002,02/10/2002
05/03/2003,0.08,100%,0.034,12/03/2003,09/04/2003
28/08/2003,0.09,100%,0.039,03/09/2003,01/10/2003
03/03/2004,0.08,100%,0.034,10/03/2004,07/04/2004
26/08/2004,0.09,100%,0.039,01/09/2004,29/09/2004
03/03/2005,0.1,100%,0.043,09/03/2005,06/04/2005
25/08/2005,0.1,100%,0.043,31/08/2005,28/09/2005
02/03/2006,0.11,100%,0.047,08/03/2006,05/04/2006
31/08/2006,0.11,100%,0.047,06/09/2006,04/10/2006
13/02/2007,0.15,100%,0.064,19/02/2007,19/03/2007
27/08/2007,0.15,100%,0.064,31/08/2007,26/09/2007
28/02/2008,0.18,100%,0.077,05/03/2008,02/04/2008
28/08/2008,0.17,100%,0.073,03/09/2008,01/10/2008
02/03/2009,0.06,100%,0.026,06/03/2009,08/04/2009
