EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
08/09/1997,0.2,50%,0.043,16/09/1997,30/09/1997
02/03/1998,0.08,50%,0.017,11/03/1998,01/04/1998
07/09/1998,0.18,50%,0.039,15/09/1998,02/10/1998
01/03/1999,0.085,50%,0.018,05/03/1999,26/03/1999
06/09/1999,0.185,50%,0.04,10/09/1999,01/10/1999
06/03/2000,0.14,10%,0.006,10/03/2000,31/03/2000
05/09/2000,0.15,35%,0.023,11/09/2000,29/09/2000
20/03/2001,0.16,30%,0.021,26/03/2001,12/04/2001
03/09/2001,0.165,25%,0.018,07/09/2001,28/09/2001
19/03/2002,0.135,15%,0.009,25/03/2002,12/04/2002
09/09/2002,0.165,12%,0.008,13/09/2002,03/10/2002
13/03/2003,0.185,12%,0.01,19/03/2003,11/04/2003
26/08/2003,0.2,15%,0.013,01/09/2003,25/09/2003
02/03/2004,0.22,30%,0.028,09/03/2004,25/03/2004
24/08/2004,0.24,50%,0.051,30/08/2004,20/09/2004
01/03/2005,0.3,50%,0.064,07/03/2005,23/03/2005
23/08/2005,0.33,50%,0.071,29/08/2005,16/09/2005
06/03/2006,0.38,50%,0.081,10/03/2006,29/03/2006
28/08/2006,0.4,60%,0.103,01/09/2006,14/09/2006
07/03/2007,0.55,60%,0.141,14/03/2007,02/04/2007
03/09/2007,0.57,60%,0.147,10/09/2007,21/09/2007
29/02/2008,0.65,50%,0.139,06/03/2008,26/03/2008
26/08/2008,0.61,20%,0.052,01/09/2008,17/09/2008
04/03/2009,0.65,20%,0.056,11/03/2009,31/03/2009
26/08/2009,0.62,20%,0.053,01/09/2009,22/09/2009
03/03/2010,0.66,20%,0.057,10/03/2010,30/03/2010
24/08/2010,0.62,15%,0.04,30/08/2010,22/09/2010
04/03/2011,0.66,10%,0.028,10/03/2011,11/04/2011
25/08/2011,0.62,10%,0.027,01/09/2011,23/09/2011
05/03/2012,0.25,25%,0.027,12/03/2012,30/03/2012
24/08/2012,0.4,15%,0.026,30/08/2012,24/09/2012
04/03/2013,0.1,100%,0.043,08/03/2013,28/03/2013
27/08/2013,0.2,100%,0.086,02/09/2013,23/09/2013
06/03/2014,0.12,100%,0.051,13/03/2014,31/03/2014
27/08/2014,0.15,100%,0.064,29/08/2014,23/09/2014
04/03/2015,0.22,100%,0.094,06/03/2015,13/04/2015
26/08/2015,0.2,100%,0.086,28/08/2015,02/10/2015
10/03/2016,0.3,100%,0.129,11/03/2016,14/04/2016
