EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
19970908,0.2,50%,0.043,19970916,19970930
19980302,0.08,50%,0.017,19980311,19980401
19980907,0.18,50%,0.039,19980915,19981002
19990301,0.085,50%,0.018,19990305,19990326
19990906,0.185,50%,0.04,19990910,19991001
20000306,0.14,10%,0.006,20000310,20000331
20000905,0.15,35%,0.023,20000911,20000929
20010320,0.16,30%,0.021,20010326,20010412
20010903,0.165,25%,0.018,20010907,20010928
20020319,0.135,15%,0.009,20020325,20020412
20020909,0.165,12%,0.008,20020913,20021003
20030313,0.185,12%,0.01,20030319,20030411
20030826,0.2,15%,0.013,20030901,20030925
20040302,0.22,30%,0.028,20040309,20040325
20040824,0.24,50%,0.051,20040830,20040920
20050301,0.3,50%,0.064,20050307,20050323
20050823,0.33,50%,0.071,20050829,20050916
20060306,0.38,50%,0.081,20060310,20060329
20060828,0.4,60%,0.103,20060901,20060914
20070307,0.55,60%,0.141,20070314,20070402
20070903,0.57,60%,0.147,20070910,20070921
20080229,0.65,50%,0.139,20080306,20080326
20080826,0.61,20%,0.052,20080901,20080917
20090304,0.65,20%,0.056,20090311,20090331
20090826,0.62,20%,0.053,20090901,20090922
20100303,0.66,20%,0.057,20100310,20100330
20100824,0.62,15%,0.04,20100830,20100922
20110304,0.66,10%,0.028,20110310,20110411
20110825,0.62,10%,0.027,20110901,20110923
20120305,0.25,25%,0.027,20120312,20120330
20120824,0.4,15%,0.026,20120830,20120924
20130304,0.1,100%,0.043,20130308,20130328
20130827,0.2,100%,0.086,20130902,20130923
20140306,0.12,100%,0.051,20140313,20140331
20140827,0.15,100%,0.064,20140829,20140923
20150304,0.22,100%,0.094,20150306,20150413
20150826,0.2,100%,0.086,20150828,20151002
20160310,0.3,100%,0.129,20160311,20160414
