EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
21/09/2009,0.1,100%,0.043,25/09/2009,16/10/2009
20/09/2010,0.16,100%,0.069,24/09/2010,15/10/2010
21/03/2011,0.1,100%,0.043,28/03/2011,15/04/2011
15/09/2011,0.16,100%,0.069,22/09/2011,14/10/2011
29/02/2012,0.125,100%,0.054,07/03/2012,03/04/2012
24/08/2012,0.205,100%,0.088,30/08/2012,27/09/2012
28/02/2013,0.16,100%,0.069,06/03/2013,20/03/2013
26/08/2013,0.255,100%,0.109,30/08/2013,24/09/2013
26/02/2014,0.22,100%,0.094,04/03/2014,18/03/2014
18/08/2014,0.35,100%,0.15,20/08/2014,25/09/2014
03/03/2015,0.295,100%,0.126,05/03/2015,12/03/2015
25/08/2015,0.405,100%,0.174,27/08/2015,14/09/2015
02/03/2016,0.36,100%,0.154,04/03/2016,11/03/2016
