EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
20090921,0.1,100%,0.043,20090925,20091016
20100920,0.16,100%,0.069,20100924,20101015
20110321,0.1,100%,0.043,20110328,20110415
20110915,0.16,100%,0.069,20110922,20111014
20120229,0.125,100%,0.054,20120307,20120403
20120824,0.205,100%,0.088,20120830,20120927
20130228,0.16,100%,0.069,20130306,20130320
20130826,0.255,100%,0.109,20130830,20130924
20140226,0.22,100%,0.094,20140304,20140318
20140818,0.35,100%,0.15,20140820,20140925
20150303,0.295,100%,0.126,20150305,20150312
20150825,0.405,100%,0.174,20150827,20150914
20160302,0.36,100%,0.154,20160304,20160311
