EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
22/09/1997,0.2258,100%,0.097,30/09/1997,20/10/1997
16/03/1998,0.5336,100%,0.229,24/03/1998,20/04/1998
21/09/1998,0.2796,100%,0.12,29/09/1998,19/10/1998
09/03/1999,0.5556,100%,0.238,15/03/1999,07/04/1999
09/08/1999,0.2564,100%,0.11,13/08/1999,31/08/1999
06/03/2000,0.6147,100%,0.263,10/03/2000,07/04/2000
14/08/2000,0.3268,100%,0.14,18/08/2000,15/09/2000
05/03/2001,0.6976,100%,0.299,09/03/2001,06/04/2001
13/08/2001,0.3942,100%,0.169,17/08/2001,14/09/2001
06/03/2002,0.7585,100%,0.325,13/03/2002,08/04/2002
14/08/2002,0.5406,100%,0.232,20/08/2002,13/09/2002
05/03/2003,0.5187,100%,0.222,12/03/2003,07/04/2003
13/08/2003,0.4502,100%,0.193,19/08/2003,12/09/2003
10/03/2004,0.4468,100%,0.191,16/03/2004,06/04/2004
11/08/2004,0.4553,100%,0.195,17/08/2004,10/09/2004
23/02/2005,0.5829,100%,0.25,01/03/2005,08/04/2005
10/08/2005,0.5056,100%,0.217,16/08/2005,08/09/2005
22/02/2006,2.0028,100%,0.858,28/02/2006,06/04/2006
09/08/2006,0.5248,100%,0.225,15/08/2006,07/09/2006
07/03/2007,0.8284,100%,0.355,14/03/2007,13/04/2007
08/08/2007,0.6069,100%,0.26,14/08/2007,06/09/2007
20/02/2008,0.9302,100%,0.399,26/02/2008,11/04/2008
03/09/2008,0.7735,100%,0.332,09/09/2008,02/10/2008
18/02/2009,1.0148,100%,0.435,24/02/2009,08/04/2009
24/02/2010,0.5156,100%,0.221,02/03/2010,01/04/2010
11/08/2010,0.4927,100%,0.211,17/08/2010,09/09/2010
02/03/2011,0.6194,100%,0.265,09/03/2011,31/03/2011
10/08/2011,0.4981,100%,0.213,17/08/2011,08/09/2011
29/02/2012,0.842,100%,0.361,07/03/2012,12/04/2012
15/08/2012,0.6851,100%,0.294,21/08/2012,13/09/2012
06/03/2013,0.9167,100%,0.393,13/03/2013,11/04/2013
14/08/2013,0.93,100%,0.399,20/08/2013,12/09/2013
05/03/2014,1.2014,100%,0.515,12/03/2014,10/04/2014
13/08/2014,1.0309,100%,0.442,15/08/2014,11/09/2014
04/03/2015,1.5298,100%,0.656,06/03/2015,09/04/2015
12/08/2015,1.4491,100%,0.621,14/08/2015,10/09/2015
24/02/2016,1.5189,100%,0.651,26/02/2016,07/04/2016
