EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
03/09/2012,0.0139,0%,0,07/09/2012,28/09/2012
14/11/2012,0.0139,0%,0,20/11/2012,18/12/2012
13/02/2013,0.0139,0%,0,19/02/2013,19/03/2013
15/05/2013,0.0147,0%,0,21/05/2013,18/06/2013
14/08/2013,0.0234,0%,0,20/08/2013,17/09/2013
13/11/2013,0.0225,0%,0,19/11/2013,18/12/2013
13/02/2014,0.0236,0%,0,19/02/2014,19/03/2014
16/05/2014,0.0229,0%,0,20/05/2014,17/06/2014
19/08/2014,0.0255,0%,0,21/08/2014,18/09/2014
18/11/2014,0.0276,0%,0,20/11/2014,18/12/2014
10/02/2015,0.0308,0%,0,12/02/2015,19/03/2015
19/05/2015,0.0302,0%,0,21/05/2015,18/06/2015
18/08/2015,0.0348,0%,0,20/08/2015,17/09/2015
17/11/2015,0.0292,0%,0,19/11/2015,17/12/2015
09/02/2016,0.0295,0%,0,11/02/2016,17/03/2016
