EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
01/10/2010,0.18,100%,0.077,08/10/2010,22/10/2010
28/03/2011,0.18,100%,0.077,04/04/2011,15/04/2011
26/09/2011,0.18,100%,0.077,03/10/2011,14/10/2011
26/03/2012,0.18,100%,0.077,02/04/2012,13/04/2012
24/09/2012,0.2,100%,0.086,28/09/2012,12/10/2012
22/03/2013,0.2,100%,0.086,28/03/2013,12/04/2013
23/09/2013,0.2,100%,0.086,27/09/2013,11/10/2013
24/03/2014,0.2,100%,0.086,28/03/2014,11/04/2014
24/09/2014,0.2,100%,0.086,26/09/2014,13/10/2014
25/03/2015,0.2,100%,0.086,27/03/2015,10/04/2015
21/09/2015,0.2,100%,0.086,23/09/2015,09/10/2015
23/03/2016,0.2,100%,0.086,24/03/2016,12/04/2016
