EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
20101001,0.18,100%,0.077,20101008,20101022
20110328,0.18,100%,0.077,20110404,20110415
20110926,0.18,100%,0.077,20111003,20111014
20120326,0.18,100%,0.077,20120402,20120413
20120924,0.2,100%,0.086,20120928,20121012
20130322,0.2,100%,0.086,20130328,20130412
20130923,0.2,100%,0.086,20130927,20131011
20140324,0.2,100%,0.086,20140328,20140411
20140924,0.2,100%,0.086,20140926,20141013
20150325,0.2,100%,0.086,20150327,20150410
20150921,0.2,100%,0.086,20150923,20151009
20160323,0.2,100%,0.086,20160324,20160412
