EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
11/12/1998,0.0625,100%,0.027,21/12/1998,04/01/1999
14/12/1999,0.144,100%,0.062,20/12/1999,31/12/1999
14/12/2000,0.1588,100%,0.068,20/12/2000,02/01/2001
14/12/2001,0.1435,100%,0.062,20/12/2001,02/01/2002
10/02/2003,0.065,100%,0.028,14/02/2003,28/02/2003
24/06/2003,0.05,100%,0.021,30/06/2003,04/07/2003
23/12/2003,0.15,100%,0.064,31/12/2003,08/01/2004
29/06/2004,0.085,100%,0.036,05/07/2004,14/07/2004
23/12/2004,0.125,100%,0.054,31/12/2004,10/01/2005
27/06/2005,0.09,100%,0.039,01/07/2005,15/07/2005
21/12/2005,0.12,100%,0.051,29/12/2005,12/01/2006
26/06/2006,0.075,100%,0.032,30/06/2006,12/07/2006
20/12/2006,0.09,100%,0.039,28/12/2006,11/01/2007
25/06/2007,0.04,100%,0.017,29/06/2007,11/07/2007
17/12/2007,0.1,100%,0.043,21/12/2007,04/01/2008
30/06/2008,0.035,100%,0.015,04/07/2008,16/07/2008
23/12/2008,0.02,100%,0.009,31/12/2008,13/01/2009
28/10/2010,0.11,0%,0,04/11/2010,19/11/2010
09/11/2011,0.0525,100%,0.023,16/11/2011,30/11/2011
