EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
19981211,0.0625,100%,0.027,19981221,19990104
19991214,0.144,100%,0.062,19991220,19991231
20001214,0.1588,100%,0.068,20001220,20010102
20011214,0.1435,100%,0.062,20011220,20020102
20030210,0.065,100%,0.028,20030214,20030228
20030624,0.05,100%,0.021,20030630,20030704
20031223,0.15,100%,0.064,20031231,20040108
20040629,0.085,100%,0.036,20040705,20040714
20041223,0.125,100%,0.054,20041231,20050110
20050627,0.09,100%,0.039,20050701,20050715
20051221,0.12,100%,0.051,20051229,20060112
20060626,0.075,100%,0.032,20060630,20060712
20061220,0.09,100%,0.039,20061228,20070111
20070625,0.04,100%,0.017,20070629,20070711
20071217,0.1,100%,0.043,20071221,20080104
20080630,0.035,100%,0.015,20080704,20080716
20081223,0.02,100%,0.009,20081231,20090113
20101028,0.11,0%,0,20101104,20101119
20111109,0.0525,100%,0.023,20111116,20111130
