EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
22/03/1999,0.07,100%,0.03,26/03/1999,30/04/1999
06/09/1999,0.26,38.47%,0.043,10/09/1999,29/10/1999
20/03/2000,0.08,49.17%,0.017,24/03/2000,28/04/2000
18/09/2000,0.1,100%,0.043,22/09/2000,27/10/2000
19/03/2001,0.08,100%,0.034,23/03/2001,27/04/2001
17/09/2001,0.11,100%,0.047,21/09/2001,26/10/2001
18/03/2002,0.11,100%,0.047,22/03/2002,29/04/2002
16/09/2002,0.11,100%,0.047,20/09/2002,28/10/2002
17/03/2003,0.15,100%,0.064,21/03/2003,30/04/2003
22/09/2003,0.12,100%,0.051,26/09/2003,31/10/2003
22/03/2004,0.13,100%,0.056,26/03/2004,30/04/2004
20/09/2004,0.13,100%,0.056,24/09/2004,29/10/2004
24/03/2005,0.2,100%,0.086,01/04/2005,29/04/2005
26/09/2005,0.2,100%,0.086,30/09/2005,31/10/2005
20/02/2006,0.2,100%,0.086,24/02/2006,24/03/2006
21/08/2006,0.14,100%,0.06,25/08/2006,22/09/2006
26/02/2007,0.14,100%,0.06,02/03/2007,30/03/2007
20/08/2007,0.14,100%,0.06,24/08/2007,21/09/2007
03/03/2008,0.14,100%,0.06,07/03/2008,04/04/2008
25/08/2008,0.14,100%,0.06,29/08/2008,26/09/2008
06/03/2009,0.14,100%,0.06,13/03/2009,09/04/2009
24/08/2009,0.14,100%,0.06,28/08/2009,25/09/2009
22/02/2010,0.14,100%,0.06,26/02/2010,26/03/2010
23/08/2010,0.14,100%,0.06,27/08/2010,24/09/2010
21/02/2011,0.14,100%,0.06,28/02/2011,25/03/2011
22/08/2011,0.14,100%,0.06,29/08/2011,23/09/2011
20/02/2012,0.14,100%,0.06,27/02/2012,23/03/2012
20/08/2012,0.14,100%,0.06,24/08/2012,21/09/2012
18/02/2013,0.14,100%,0.06,22/02/2013,22/03/2013
19/08/2013,0.14,100%,0.06,23/08/2013,20/09/2013
24/02/2014,0.145,100%,0.062,28/02/2014,28/03/2014
27/08/2014,0.15,100%,0.064,29/08/2014,26/09/2014
25/02/2015,0.15,100%,0.064,27/02/2015,27/03/2015
25/08/2015,0.155,100%,0.066,27/08/2015,25/09/2015
01/03/2016,0.155,100%,0.066,03/03/2016,01/04/2016
