EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
19/04/2010,0.02,100%,0.009,23/04/2010,27/05/2010
14/10/2010,0.02,100%,0.009,20/10/2010,17/11/2010
13/04/2011,0.0225,100%,0.01,20/04/2011,24/05/2011
12/10/2011,0.0225,100%,0.01,19/10/2011,22/11/2011
11/04/2012,0.0275,100%,0.012,18/04/2012,22/05/2012
10/10/2012,0.0275,100%,0.012,16/10/2012,20/11/2012
10/04/2013,0.035,100%,0.015,16/04/2013,21/05/2013
09/10/2013,0.04,100%,0.017,15/10/2013,19/11/2013
09/04/2014,0.045,100%,0.019,15/04/2014,20/05/2014
10/10/2014,0.0475,100%,0.02,14/10/2014,18/11/2014
10/04/2015,0.055,100%,0.024,14/04/2015,19/05/2015
09/10/2015,0.06,100%,0.026,13/10/2015,17/11/2015
18/04/2016,0.07,100%,0.03,19/04/2016,24/05/2016
