EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
20100419,0.02,100%,0.009,20100423,20100527
20101014,0.02,100%,0.009,20101020,20101117
20110413,0.0225,100%,0.01,20110420,20110524
20111012,0.0225,100%,0.01,20111019,20111122
20120411,0.0275,100%,0.012,20120418,20120522
20121010,0.0275,100%,0.012,20121016,20121120
20130410,0.035,100%,0.015,20130416,20130521
20131009,0.04,100%,0.017,20131015,20131119
20140409,0.045,100%,0.019,20140415,20140520
20141010,0.0475,100%,0.02,20141014,20141118
20150410,0.055,100%,0.024,20150414,20150519
20151009,0.06,100%,0.026,20151013,20151117
20160418,0.07,100%,0.03,20160419,20160524
