EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
25/08/2004,0.025,100%,0.011,31/08/2004,24/09/2004
28/02/2005,0.1,100%,0.043,04/03/2005,23/03/2005
29/08/2005,0.07,100%,0.03,02/09/2005,23/09/2005
27/02/2006,0.13,100%,0.056,03/03/2006,17/03/2006
28/08/2006,0.175,100%,0.075,01/09/2006,15/09/2006
26/02/2007,0.17,100%,0.073,02/03/2007,16/03/2007
24/09/2007,0.14,100%,0.06,28/09/2007,12/10/2007
31/03/2008,0.29,100%,0.124,04/04/2008,18/04/2008
23/09/2008,0.19,100%,0.081,29/09/2008,13/10/2008
26/03/2009,0.32,100%,0.137,01/04/2009,17/04/2009
22/09/2009,0.23,100%,0.099,28/09/2009,12/10/2009
25/03/2010,0.39,100%,0.167,31/03/2010,19/04/2010
21/09/2010,0.28,100%,0.12,27/09/2010,11/10/2010
24/03/2011,0.23,100%,0.099,31/03/2011,18/04/2011
20/09/2011,0.08,100%,0.034,27/09/2011,10/10/2011
22/03/2012,0.24,100%,0.103,29/03/2012,16/04/2012
24/09/2012,0.18,100%,0.077,28/09/2012,15/10/2012
21/03/2013,0.24,100%,0.103,27/03/2013,15/04/2013
23/09/2013,0.13,100%,0.056,27/09/2013,14/10/2013
20/03/2014,0.215,100%,0.092,26/03/2014,14/04/2014
24/09/2014,0.085,100%,0.036,26/09/2014,13/10/2014
19/03/2015,0.165,100%,0.071,23/03/2015,13/04/2015
23/09/2015,0.135,100%,0.058,25/09/2015,12/10/2015
18/03/2016,0.25,100%,0.107,21/03/2016,11/04/2016
