EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
20040825,0.025,100%,0.011,20040831,20040924
20050228,0.1,100%,0.043,20050304,20050323
20050829,0.07,100%,0.03,20050902,20050923
20060227,0.13,100%,0.056,20060303,20060317
20060828,0.175,100%,0.075,20060901,20060915
20070226,0.17,100%,0.073,20070302,20070316
20070924,0.14,100%,0.06,20070928,20071012
20080331,0.29,100%,0.124,20080404,20080418
20080923,0.19,100%,0.081,20080929,20081013
20090326,0.32,100%,0.137,20090401,20090417
20090922,0.23,100%,0.099,20090928,20091012
20100325,0.39,100%,0.167,20100331,20100419
20100921,0.28,100%,0.12,20100927,20101011
20110324,0.23,100%,0.099,20110331,20110418
20110920,0.08,100%,0.034,20110927,20111010
20120322,0.24,100%,0.103,20120329,20120416
20120924,0.18,100%,0.077,20120928,20121015
20130321,0.24,100%,0.103,20130327,20130415
20130923,0.13,100%,0.056,20130927,20131014
20140320,0.215,100%,0.092,20140326,20140414
20140924,0.085,100%,0.036,20140926,20141013
20150319,0.165,100%,0.071,20150323,20150413
20150923,0.135,100%,0.058,20150925,20151012
20160318,0.25,100%,0.107,20160321,20160411
