EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
02/12/1997,0.2,100%,0.086,10/12/1997,05/01/1998
02/06/1998,0.21,100%,0.09,11/06/1998,03/07/1998
01/12/1998,0.22,100%,0.094,09/12/1998,04/01/1999
04/06/1999,0.23,100%,0.099,10/06/1999,02/07/1999
02/12/1999,0.24,0%,0,08/12/1999,04/01/2000
08/06/2000,0.26,100%,0.111,15/06/2000,07/07/2000
30/11/2000,0.28,100%,0.12,06/12/2000,02/01/2001
07/06/2001,0.3,100%,0.129,14/06/2001,06/07/2001
22/11/2001,0.32,100%,0.137,28/11/2001,21/12/2001
06/06/2002,0.34,100%,0.146,13/06/2002,05/07/2002
21/11/2002,0.36,100%,0.154,27/11/2002,20/12/2002
05/06/2003,0.38,100%,0.163,12/06/2003,04/07/2003
20/11/2003,0.4,100%,0.171,26/11/2003,19/12/2003
04/06/2004,0.42,100%,0.18,10/06/2004,02/07/2004
18/11/2004,0.44,100%,0.189,24/11/2004,15/12/2004
01/06/2005,0.49,100%,0.21,07/06/2005,01/07/2005
17/11/2005,0.51,100%,0.219,23/11/2005,14/12/2005
01/06/2006,0.56,100%,0.24,07/06/2006,03/07/2006
16/11/2006,0.6,100%,0.257,22/11/2006,13/12/2006
17/05/2007,0.63,100%,0.27,23/05/2007,02/07/2007
07/11/2007,0.68,100%,0.291,13/11/2007,18/12/2007
19/05/2008,0.7,100%,0.3,23/05/2008,02/07/2008
05/11/2008,0.72,100%,0.309,11/11/2008,17/12/2008
18/05/2009,0.56,100%,0.24,22/05/2009,02/07/2009
09/11/2009,0.6,100%,0.257,13/11/2009,21/12/2009
17/05/2010,0.65,100%,0.279,21/05/2010,02/07/2010
08/11/2010,0.74,100%,0.317,12/11/2010,20/12/2010
16/05/2011,0.76,100%,0.326,23/05/2011,04/07/2011
07/11/2011,0.8,100%,0.343,14/11/2011,19/12/2011
14/05/2012,0.82,100%,0.351,18/05/2012,02/07/2012
09/11/2012,0.84,100%,0.36,15/11/2012,20/12/2012
13/05/2013,0.96,100%,0.411,17/05/2013,02/07/2013
08/11/2013,0.98,100%,0.42,14/11/2013,19/12/2013
14/05/2014,0.9,100%,0.386,16/05/2014,02/07/2014
10/11/2014,0.92,100%,0.394,12/11/2014,19/12/2014
13/05/2015,0.93,100%,0.399,15/05/2015,02/07/2015
11/11/2015,0.94,100%,0.403,13/11/2015,21/12/2015
