EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
25/09/1997,0.38,100%,0.163,03/10/1997,30/10/1997
19/03/1998,0.23,100%,0.099,27/03/1998,20/04/1998
24/09/1998,0.43,100%,0.184,02/10/1998,29/10/1998
22/03/1999,0.25,100%,0.107,26/03/1999,19/04/1999
27/09/1999,0.42,100%,0.18,01/10/1999,27/10/1999
20/03/2000,0.25,100%,0.107,24/03/2000,17/04/2000
25/09/2000,0.48,100%,0.206,29/09/2000,26/10/2000
29/03/2001,0.27,100%,0.116,04/04/2001,20/04/2001
05/10/2001,0.6,100%,0.257,11/10/2001,25/10/2001
04/03/2002,0.34,100%,0.146,08/03/2002,28/03/2002
02/09/2002,0.77,100%,0.33,06/09/2002,26/09/2002
03/03/2003,0.42,100%,0.18,07/03/2003,28/03/2003
01/09/2003,0.85,100%,0.364,05/09/2003,25/09/2003
16/02/2004,0.48,100%,0.206,20/02/2004,02/03/2004
16/08/2004,0.92,100%,0.394,20/08/2004,30/08/2004
14/02/2005,0.53,100%,0.227,18/02/2005,02/03/2005
15/08/2005,1.27,100%,0.544,19/08/2005,29/08/2005
20/02/2006,0.65,100%,0.279,24/02/2006,08/03/2006
21/08/2006,1.5,100%,0.643,25/08/2006,04/09/2006
21/02/2007,0.85,100%,0.364,27/02/2007,30/03/2007
08/11/2007,1.4,100%,0.6,14/11/2007,29/11/2007
27/02/2008,0.65,100%,0.279,04/03/2008,31/03/2008
26/08/2008,1.35,100%,0.579,01/09/2008,06/10/2008
24/02/2009,0.5,100%,0.214,02/03/2009,31/03/2009
25/08/2009,0.6,100%,0.257,31/08/2009,01/10/2009
23/02/2010,0.55,100%,0.236,01/03/2010,31/03/2010
24/08/2010,0.7,100%,0.3,30/08/2010,30/09/2010
22/02/2011,0.65,100%,0.279,01/03/2011,31/03/2011
23/08/2011,0.85,100%,0.364,30/08/2011,30/09/2011
21/02/2012,0.7,100%,0.3,28/02/2012,30/03/2012
21/08/2012,0.95,100%,0.407,27/08/2012,28/09/2012
19/02/2013,0.77,100%,0.33,25/02/2013,28/03/2013
20/08/2013,1.03,100%,0.441,26/08/2013,27/09/2013
24/02/2014,0.85,100%,0.364,28/02/2014,02/04/2014
29/08/2014,1.15,100%,0.493,02/09/2014,09/10/2014
24/02/2015,0.89,100%,0.381,26/02/2015,02/04/2015
25/08/2015,1.11,100%,0.476,27/08/2015,30/09/2015
29/02/2016,0.91,100%,0.39,02/03/2016,07/04/2016
