EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
09/09/1997,0.09,100%,0.039,17/09/1997,15/10/1997
24/03/1998,0.08,100%,0.034,01/04/1998,24/04/1998
03/09/1998,0.09,100%,0.039,11/09/1998,09/10/1998
29/03/1999,0.08,100%,0.034,06/04/1999,30/04/1999
09/09/1999,0.1,100%,0.043,15/09/1999,05/10/1999
30/03/2000,0.1,100%,0.043,05/04/2000,28/04/2000
08/09/2000,0.13,100%,0.056,14/09/2000,05/10/2000
29/03/2001,0.12,100%,0.051,04/04/2001,27/04/2001
06/09/2001,0.15,100%,0.064,12/09/2001,05/10/2001
27/03/2002,0.15,100%,0.064,04/04/2002,30/04/2002
04/09/2002,0.18,100%,0.077,10/09/2002,08/10/2002
27/03/2003,0.18,100%,0.077,02/04/2003,30/04/2003
04/09/2003,0.21,100%,0.09,10/09/2003,03/10/2003
22/03/2004,0.21,100%,0.09,26/03/2004,30/04/2004
30/08/2004,0.24,100%,0.103,03/09/2004,08/10/2004
24/03/2005,0.24,100%,0.103,01/04/2005,29/04/2005
01/09/2005,0.27,100%,0.116,07/09/2005,07/10/2005
27/03/2006,0.28,100%,0.12,31/03/2006,28/04/2006
04/09/2006,0.31,100%,0.133,08/09/2006,06/10/2006
22/03/2007,0.35,100%,0.15,28/03/2007,27/04/2007
31/08/2007,0.39,100%,0.167,06/09/2007,05/10/2007
20/03/2008,0.44,100%,0.189,28/03/2008,24/04/2008
01/09/2008,0.48,100%,0.206,05/09/2008,03/10/2008
23/03/2009,0.48,100%,0.206,27/03/2009,24/04/2009
07/09/2009,0.56,100%,0.24,11/09/2009,09/10/2009
22/03/2010,0.53,100%,0.227,26/03/2010,23/04/2010
13/09/2010,0.62,100%,0.266,17/09/2010,15/10/2010
21/03/2011,0.57,100%,0.244,28/03/2011,29/04/2011
12/09/2011,0.65,100%,0.279,19/09/2011,14/10/2011
19/03/2012,0.59,100%,0.253,26/03/2012,27/04/2012
10/09/2012,0.67,100%,0.287,14/09/2012,12/10/2012
18/03/2013,0.62,100%,0.266,22/03/2013,26/04/2013
09/09/2013,0.71,100%,0.304,13/09/2013,11/10/2013
17/03/2014,0.65,100%,0.279,21/03/2014,24/04/2014
10/09/2014,0.72,100%,0.309,12/09/2014,10/10/2014
18/03/2015,0.67,100%,0.287,20/03/2015,24/04/2015
09/09/2015,0.72,100%,0.309,11/09/2015,09/10/2015
02/03/2016,0.44,100%,0.189,04/03/2016,08/04/2016
