EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
14/10/1997,0.08,100%,0.034,22/10/1997,07/11/1997
28/04/1998,0.12,100%,0.051,06/05/1998,22/05/1998
13/10/1998,0.09,100%,0.039,21/10/1998,06/11/1998
29/04/1999,0.14,100%,0.06,05/05/1999,21/05/1999
10/09/1999,0.1,100%,0.043,16/09/1999,30/09/1999
14/03/2000,0.16,100%,0.069,20/03/2000,31/03/2000
04/09/2000,0.22,100%,0.094,08/09/2000,22/09/2000
13/03/2001,0.6,100%,0.257,19/03/2001,30/03/2001
24/08/2001,0.24,100%,0.103,30/08/2001,13/09/2001
04/03/2002,0.46,100%,0.197,08/03/2002,21/03/2002
21/08/2002,0.21,100%,0.09,27/08/2002,05/09/2002
03/03/2003,0.41,100%,0.176,07/03/2003,21/03/2003
01/09/2003,0.21,100%,0.09,05/09/2003,26/09/2003
01/03/2004,0.25,100%,0.107,05/03/2004,26/03/2004
30/08/2004,0.27,100%,0.116,03/09/2004,24/09/2004
25/02/2005,0.32,100%,0.137,03/03/2005,23/03/2005
29/08/2005,0.35,100%,0.15,02/09/2005,23/09/2005
23/02/2006,0.58,100%,0.249,01/03/2006,22/03/2006
28/08/2006,0.49,100%,0.21,01/09/2006,20/09/2006
26/02/2007,0.77,100%,0.33,02/03/2007,28/03/2007
27/08/2007,0.49,100%,0.21,31/08/2007,26/09/2007
25/02/2008,0.55,100%,0.236,29/02/2008,31/03/2008
01/09/2008,0.8,100%,0.343,05/09/2008,01/10/2008
23/02/2009,0.55,100%,0.236,27/02/2009,06/04/2009
24/08/2009,0.55,100%,0.236,28/08/2009,05/10/2009
01/03/2010,0.55,100%,0.236,05/03/2010,31/03/2010
24/02/2011,0.5432,100%,0.233,03/03/2011,06/04/2011
22/08/2011,0.5255,100%,0.225,29/08/2011,30/09/2011
27/02/2012,0.5129,100%,0.22,05/03/2012,04/04/2012
27/08/2012,0.631007,100%,0.27,31/08/2012,02/10/2012
25/02/2013,0.635262,100%,0.272,01/03/2013,03/04/2013
30/04/2013,0.612245,100%,0.262,06/05/2013,29/05/2013
26/08/2013,0.927685,100%,0.398,30/08/2013,25/09/2013
24/02/2014,1.149425,100%,0.493,28/02/2014,26/03/2014
27/08/2014,1.188691,100%,0.509,29/08/2014,24/09/2014
25/02/2015,1.8436,100%,0.79,27/02/2015,25/03/2015
26/08/2015,0.9208,100%,0.395,28/08/2015,23/09/2015
22/02/2016,0.601,100%,0.258,24/02/2016,08/04/2016
