EX DATE,AMOUNT,FRANKED,FRANKING CREDIT,BOOKS CLOSE,DATE PAYABLE
19971014,0.08,100%,0.034,19971022,19971107
19980428,0.12,100%,0.051,19980506,19980522
19981013,0.09,100%,0.039,19981021,19981106
19990429,0.14,100%,0.06,19990505,19990521
19990910,0.1,100%,0.043,19990916,19990930
20000314,0.16,100%,0.069,20000320,20000331
20000904,0.22,100%,0.094,20000908,20000922
20010313,0.6,100%,0.257,20010319,20010330
20010824,0.24,100%,0.103,20010830,20010913
20020304,0.46,100%,0.197,20020308,20020321
20020821,0.21,100%,0.09,20020827,20020905
20030303,0.41,100%,0.176,20030307,20030321
20030901,0.21,100%,0.09,20030905,20030926
20040301,0.25,100%,0.107,20040305,20040326
20040830,0.27,100%,0.116,20040903,20040924
20050225,0.32,100%,0.137,20050303,20050323
20050829,0.35,100%,0.15,20050902,20050923
20060223,0.58,100%,0.249,20060301,20060322
20060828,0.49,100%,0.21,20060901,20060920
20070226,0.77,100%,0.33,20070302,20070328
20070827,0.49,100%,0.21,20070831,20070926
20080225,0.55,100%,0.236,20080229,20080331
20080901,0.8,100%,0.343,20080905,20081001
20090223,0.55,100%,0.236,20090227,20090406
20090824,0.55,100%,0.236,20090828,20091005
20100301,0.55,100%,0.236,20100305,20100331
20110224,0.5432,100%,0.233,20110303,20110406
20110822,0.5255,100%,0.225,20110829,20110930
20120227,0.5129,100%,0.22,20120305,20120404
20120827,0.631007,100%,0.27,20120831,20121002
20130225,0.635262,100%,0.272,20130301,20130403
20130430,0.612245,100%,0.262,20130506,20130529
20130826,0.927685,100%,0.398,20130830,20130925
20140224,1.149425,100%,0.493,20140228,20140326
20140827,1.188691,100%,0.509,20140829,20140924
20150225,1.8436,100%,0.79,20150227,20150325
20150826,0.9208,100%,0.395,20150828,20150923
20160222,0.601,100%,0.258,20160224,20160408
