360,20201106,3.8,3.82,3.59,3.67,197103
14D,20201106,0.185,0.195,0.175,0.195,244659
1AD,20201106,0.11,0.11,0.11,0.11,39307
1ADO,20201106,0.04,0.04,0.04,0.04,0
1AG,20201106,0.047,0.047,0.047,0.047,150000
1ST,20201106,0.036,0.037,0.035,0.036,1852888
2BE,20201106,0.065,0.065,0.065,0.065,100000
2BEO,20201106,0.016,0.016,0.016,0.016,0
3DA,20201106,0.625,0.645,0.58,0.605,658957
3DP,20201106,0.34,0.36,0.335,0.36,1520367
3PL,20201106,1.245,1.245,1.23,1.23,58602
4CE,20201106,0.017,0.017,0.016,0.016,6223498
4DS,20201106,0.105,0.105,0.099,0.1,5664489
4DX,20201106,2.35,2.39,2.26,2.3,407825
5GN,20201106,1.69,1.735,1.655,1.68,517980
88E,20201106,0.006,0.006,0.006,0.006,6863948
8CO,20201106,0.135,0.145,0.135,0.14,833792
8EC,20201106,0.033,0.033,0.033,0.033,0
8IH,20201106,0.13,0.13,0.13,0.13,62010
8VI,20201106,1.15,1.16,1.15,1.16,2022
9SP,20201106,0.027,0.029,0.027,0.029,1108894
A1G,20201106,0.16,0.16,0.16,0.16,0
A1M,20201106,0.47,0.47,0.46,0.46,25391
A200,20201106,103.52,104,103.35,103.72,35635
A2B,20201106,1.045,1.05,1.04,1.05,23243
A2M,20201106,13.59,13.84,13.47,13.71,2816843
A3D,20201106,0.067,0.068,0.067,0.068,7858
A4N,20201106,0.305,0.315,0.305,0.315,27585
AAA,20201106,50.08,50.08,50.07,50.07,73256
AAC,20201106,1.11,1.132,1.105,1.115,347753
AAJ,20201106,0.008,0.008,0.007,0.007,432056
AAP,20201106,0.014,0.014,0.014,0.014,0
AAR,20201106,0.16,0.17,0.16,0.17,163933
AASF,20201106,2.7,2.7,2.7,2.7,0
ABA,20201106,5.6,5.63,5.52,5.57,13872
ABB,20201106,1.9,1.96,1.895,1.92,388701
ABC,20201106,3.14,3.22,3.12,3.21,1536328
ABL,20201106,0.001,0.001,0.001,0.001,0
ABP,20201106,3.07,3.105,3.04,3.09,1006197
ABR,20201106,0.89,0.935,0.88,0.88,544516
ABV,20201106,0.032,0.032,0.032,0.032,69000
ABW,20201106,0.19,0.19,0.19,0.19,0
ABX,20201106,0.105,0.105,0.105,0.105,127615
ABY,20201106,6.05,6.38,6.03,6.15,167658
AC8,20201106,0.14,0.14,0.135,0.14,279398
ACB,20201106,0.021,0.024,0.021,0.024,587176
ACDC,20201106,67.9,68.1,66.7,66.71,6821
ACF,20201106,0.355,0.355,0.355,0.355,53115
ACP,20201106,0.015,0.015,0.015,0.015,0
ACQ,20201106,1.46,1.47,1.455,1.46,113831
ACR,20201106,0.165,0.17,0.165,0.165,130216
ACS,20201106,0.01,0.01,0.01,0.01,0
ACU,20201106,0.135,0.135,0.13,0.13,63457
ACW,20201106,0.022,0.022,0.021,0.022,195933
AD1,20201106,0.05,0.053,0.05,0.053,393786
AD8,20201106,7.36,7.43,7.13,7.21,134170
ADA,20201106,0.655,0.66,0.64,0.66,35420
ADD,20201106,0.031,0.033,0.03,0.033,2677019
ADH,20201106,3.81,3.89,3.63,3.68,936952
ADI,20201106,2.71,2.74,2.68,2.74,95847
ADN,20201106,0.195,0.205,0.185,0.195,14780646
ADNOB,20201106,0.17,0.185,0.17,0.175,755796
ADO,20201106,0.098,0.1,0.097,0.098,1677210
ADOO,20201106,0.08,0.08,0.08,0.08,0
ADOOA,20201106,0.08,0.08,0.08,0.08,0
ADR,20201106,0.023,0.028,0.023,0.026,8184124
ADS,20201106,0.029,0.031,0.029,0.03,1169876
ADT,20201106,2.32,2.44,2.29,2.37,475874
ADV,20201106,0.041,0.043,0.031,0.032,76278575
ADX,20201106,0.006,0.006,0.006,0.006,505000
ADXOB,20201106,0.001,0.001,0.001,0.001,0
ADY,20201106,0.013,0.013,0.012,0.013,470000
AEE,20201106,0.004,0.004,0.004,0.004,0
AEF,20201106,4.37,4.465,4.31,4.46,259580
AEG,20201106,1.33,1.345,1.315,1.315,90381
AEI,20201106,0.45,0.45,0.445,0.45,52323
AER,20201106,0.11,0.11,0.11,0.11,30000
AEV,20201106,0.018,0.019,0.018,0.019,29484
AFA,20201106,0.062,0.062,0.062,0.062,0
AFG,20201106,2.32,2.36,2.25,2.36,670676
AFI,20201106,6.7,6.81,6.7,6.75,278889
AFL,20201106,0.395,0.42,0.395,0.41,179041
AFP,20201106,4.52,4.52,4.52,4.52,0
AFR,20201106,0.025,0.025,0.025,0.025,235602
AGD,20201106,0.24,0.24,0.23,0.24,184003
AGE,20201106,0.005,0.005,0.005,0.005,5356927
AGG,20201106,7.12,7.31,7.12,7.3,38580
AGH,20201106,0.42,0.42,0.4,0.405,205941
AGI,20201106,0.285,0.3,0.28,0.28,72454
AGJ,20201106,0.03,0.03,0.03,0.03,0
AGL,20201106,12.87,12.91,12.72,12.85,1806853
AGM,20201106,1.6,1.6,1.6,1.6,0
AGR,20201106,0.046,0.046,0.046,0.046,0
AGRO,20201106,0.008,0.008,0.008,0.008,0
AGS,20201106,0.22,0.22,0.22,0.22,0
AGVT,20201106,53.2,53.23,53.13,53.23,2315
AGX1,20201106,5.39,5.39,5.36,5.36,5624
AGY,20201106,0.048,0.049,0.048,0.049,181877
AGYO,20201106,0.02,0.02,0.02,0.02,0
AHF,20201106,0.094,0.094,0.091,0.093,469365
AHK,20201106,0.034,0.034,0.034,0.034,0
AHL,20201106,0.007,0.007,0.007,0.007,0
AHN,20201106,0.02,0.02,0.02,0.02,0
AHQ,20201106,0.058,0.06,0.058,0.059,425980
AHX,20201106,0.695,0.695,0.68,0.68,8643
AHY,20201106,0.975,0.99,0.975,0.985,141604
AIA,20201106,6.67,6.72,6.59,6.69,551184
AIB,20201106,0.057,0.057,0.057,0.057,18004
AIM,20201106,1.12,1.145,1.105,1.12,250298
AIQ,20201106,0.12,0.12,0.12,0.12,0
AIR,20201106,0.68,0.68,0.68,0.68,0
AIS,20201106,0.069,0.074,0.069,0.073,17855099
AIV,20201106,0.175,0.175,0.175,0.175,0
AIY,20201106,0.03,0.03,0.03,0.03,0
AIYOB,20201106,0.006,0.006,0.006,0.006,0
AIZ,20201106,1.365,1.395,1.345,1.385,1605023
AJJ,20201106,0.028,0.028,0.028,0.028,0
AJL,20201106,0.04,0.041,0.04,0.041,40002
AJM,20201106,0.07,0.07,0.07,0.07,0
AJMOB,20201106,0.016,0.016,0.016,0.016,0
AJQ,20201106,0.042,0.042,0.04,0.042,1490243
AJQOA,20201106,0.022,0.022,0.022,0.022,0
AJX,20201106,0.059,0.059,0.056,0.056,123256
AJY,20201106,0.12,0.12,0.12,0.12,0
AKG,20201106,0.27,0.27,0.27,0.27,2037
AKM,20201106,0.07,0.07,0.07,0.07,150000
AKN,20201106,0.002,0.002,0.002,0.002,0
