ASX code,Company name,Security type,ISIN code
1PG,1-PAGE LTD,ORDINARY FULLY PAID,AU0000001PG3
1PGDA,1-PAGE LTD,ORDINARY FULLY PAID DEFERRED SETTLEMENT,AU00001PGDA5
1PGAA,1-PAGE LTD,ORDINARY FULLY PAID RESTRICTED,AU00001PGAA1
1PGAB,1-PAGE LTD,ORDINARY FULLY PAID RESTRICTED,AU00001PGAB9
1PGAE,1-PAGE LTD,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU00001PGAE3
1PGAC,1-PAGE LTD,PERFORMANCE RIGHTS RESTRICTED,AU00001PGAC7
1PGAD,1-PAGE LTD,OPTION EXPIRING 01-AUG-2019 RESTRICTED EX 20C,AU00001PGAD5
ONT,1300 SMILES LIMITED,ORDINARY FULLY PAID,AU000000ONT7
TIX,360 CAP INDUST FUND,ORDINARY UNITS FULLY PAID,AU000000TIX8
TIXAI,360 CAP INDUST FUND,UNITS FULLY PAID DEFERRED,AU0000TIXAI9
TGP,360 CAPITAL GRP,STAPLED SECURITIES FULLY PAID,AU000000TGP8
TGPDA,360 CAPITAL GRP,STAPLED SECURITIES FULLY PAID DEFERRED SETTLEMENT,AU0000TGPDA0
TOF,360 CAPITAL OFFICE F,ORDINARY UNITS FULLY PAID,AU000000TOF3
TDO,3D OIL LIMITED,ORDINARY FULLY PAID,AU000000TDO8
TDOAI,3D OIL LIMITED,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000TDOAI9
TDOAM,3D OIL LIMITED,OPTION EXPIRING 30-NOV-2014 EX 18C,AU0000TDOAM1
TDOAW,3D OIL LIMITED,OPTION EXPIRING 07-OCT-2015 EX 18C,AU0000TDOAW0
DDD,3D RESOURCES LIMITED,ORDINARY FULLY PAID,AU000000DDD5
DDDAA,3D RESOURCES LIMITED,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000DDDAA3
3PL,3P LEARNING LTD,ORDINARY FULLY PAID,AU0000003PL9
3PLXX,3P LEARNING LTD,INSTITUTIONAL BOOKBUILD,AU00003PLXX1
3PLZZ,3P LEARNING LTD,BROKER FIRM OFFER,AU00003PLZZ1
8CO,8COMMON LIMITED,ORDINARY FULLY PAID,AU0000008CO0
8COAA,8COMMON LIMITED,ORDINARY FULLY PAID RESTRICTED,AU00008COAA8
8COAB,8COMMON LIMITED,ORDINARY FULLY PAID RESTRICTED,AU00008COAB6
8COAC,8COMMON LIMITED,CONVERTIBLE NOTE RESTRICTED,AU00008COAC4
8IH,8I HOLDINGS LTD,CHESS DEPOSITARY INTERESTS 1:1,AU0000008IH1
NWG01,90 WEST,90 WEST GLOBAL NATURAL RESOURCES FUND,AU60ETL03315
NNW,99 WUXIAN LTD,CHESS DEPOSITARY INTERESTS 1:1,AU000000NNW3
